scheme,weighted_soft_delay,weighted_delivery_seconds,makespan,energy_kwh,transport_energy_kwh,relay_energy_kwh,transport_sorties,relay_sorties,total_sorties,extra_loss_db,hard_violations,minimum_hard_margin_seconds,communication_margin_lower_db,aircraft_min_handoff_seconds,battery_min_handoff_seconds,relay_min_handoff_seconds,component_min_handoff_seconds,q4_recommended,q4_shortage,q4_workload_cv,q4_min_handoff_seconds,q4_three_groups_available,validation
名义主方案,0,2623200.0032893578,6307.7581046684645,72.71919247438399,69.30723683159759,3.411955642786402,23,3,26,0.0,0,94.05432016497252,0.010469486452624466,0.050585059482727956,0.5759162719850792,0.9360976807388397,,P3,2,0.9579708369975914,0.050585059482727956,True,PASS
30秒接续缓冲,0,2715412.0032893578,6356.184064967842,72.69780358549511,69.30723683159759,3.390566753897513,23,3,26,0.0,0,64.05432016497252,0.010469486452624466,30.24189533153549,30.57591627198508,30.93609768073884,,P3,2,0.9579188020803765,30.24189533153549,True,PASS
radio1_tradeoff,0,2613406.0032893578,6307.7581046684645,72.67597306146124,69.30723683159759,3.36873622986365,23,3,26,1.0,0,177.05432016497252,0.03130229755301883,0.050585059482727956,0.5759162719850792,0.8955925909117468,,P3,2,0.9578588592313401,0.050585059482727956,True,PASS
radio1_buffer30_coarse,0,2635066.0032893578,6367.7581046684645,72.70347306146124,69.30723683159759,3.3962362298636504,23,3,26,1.0,0,147.05432016497252,0.03130229755301883,30.050585059482728,30.57591627198508,30.895592590911747,,P3,2,0.9579259281545615,30.050585059482728,True,PASS
