origin,destination,cells,distance,climb,descend,peak_ground,cruise_alt
O01,S001,135,3063.407094930797,145.3566101074219,89.05661010742188,223.05661010742188,273.0566101074219
S001,O01,135,3063.407094930797,89.05661010742188,145.3566101074219,223.05661010742188,273.0566101074219
O01,S002,323,7435.2682483091,183.51807861328126,91.71807861328125,261.21807861328125,311.21807861328125
S002,O01,323,7435.2682483091,91.71807861328125,183.51807861328126,261.21807861328125,311.21807861328125
O01,S003,339,7261.0655409538485,434.10413818359376,223.30413818359375,511.80413818359375,561.8041381835938
S003,O01,339,7261.0655409538485,223.30413818359375,434.10413818359376,511.80413818359375,561.8041381835938
O01,S004,277,7745.651742751971,270.53916625976564,169.9391662597656,348.2391662597656,398.2391662597656
S004,O01,277,7745.651742751971,169.9391662597656,270.53916625976564,348.2391662597656,398.2391662597656
O01,S005,183,5302.0128076982855,198.710888671875,131.410888671875,276.410888671875,326.410888671875
S005,O01,183,5302.0128076982855,131.410888671875,198.710888671875,276.410888671875,326.410888671875
O01,S006,116,3181.0289144316203,240.7154968261719,53.615496826171864,318.4154968261719,368.4154968261719
S006,O01,116,3181.0289144316203,53.615496826171864,240.7154968261719,318.4154968261719,368.4154968261719
O01,S007,213,4533.821635606341,374.13047485351564,153.33047485351562,451.8304748535156,501.8304748535156
S007,O01,213,4533.821635606341,153.33047485351562,374.13047485351564,451.8304748535156,501.8304748535156
O01,S008,323,8109.461983662226,239.85886840820314,96.65886840820315,317.5588684082031,367.5588684082031
S008,O01,323,8109.461983662226,96.65886840820315,239.85886840820314,317.5588684082031,367.5588684082031
O01,S009,253,5722.672488722757,165.52891235351564,63.228912353515625,243.22891235351562,293.2289123535156
S009,O01,253,5722.672488722757,63.228912353515625,165.52891235351564,243.22891235351562,293.2289123535156
O01,S010,202,4778.43330136777,307.93653564453126,84.03653564453123,385.63653564453125,435.63653564453125
S010,O01,202,4778.43330136777,84.03653564453123,307.93653564453126,385.63653564453125,435.63653564453125
O01,S011,123,2817.14783394126,167.66175537109376,83.26175537109376,245.36175537109375,295.36175537109375
S011,O01,123,2817.14783394126,83.26175537109376,167.66175537109376,245.36175537109375,295.36175537109375
O01,S012,355,7398.43934212781,299.39036254882814,147.2903625488281,377.0903625488281,427.0903625488281
S012,O01,355,7398.43934212781,147.2903625488281,299.39036254882814,377.0903625488281,427.0903625488281
O01,S013,227,4848.700302599784,265.0518310546875,41.05183105468751,342.7518310546875,392.7518310546875
S013,O01,227,4848.700302599784,41.05183105468751,265.0518310546875,342.7518310546875,392.7518310546875
O01,S014,202,5410.909620502695,447.8438232421875,224.5438232421875,525.5438232421875,575.5438232421875
S014,O01,202,5410.909620502695,224.5438232421875,447.8438232421875,525.5438232421875,575.5438232421875
O01,S015,288,6019.105634595292,444.09925537109376,97.29925537109375,521.7992553710938,571.7992553710938
S015,O01,288,6019.105634595292,97.29925537109375,444.09925537109376,521.7992553710938,571.7992553710938
