scheme,sortie,model,resource_type,resource_id,activity,start_s,end_s
soft_delay_priority,T020,B,aircraft,U06,flight,5067.2747099938615,7350.4068166783945
soft_delay_priority,T020,B,battery,B02,flight,5067.2747099938615,7350.4068166783945
soft_delay_priority,T020,B,battery,B02,charging,7350.4068166783945,9355.336950734607
soft_delay_priority,T026,A,aircraft,U01,flight,5092.412387984555,7002.6222349613745
soft_delay_priority,T026,A,battery,A01,flight,5092.412387984555,7002.6222349613745
soft_delay_priority,T026,A,battery,A01,charging,7002.6222349613745,8185.687153268425
soft_delay_priority,T016,B,aircraft,U05,flight,5275.3021617780905,7173.343433265085
soft_delay_priority,T016,B,battery,B01,flight,5275.3021617780905,7173.343433265085
soft_delay_priority,T016,B,battery,B01,charging,7173.343433265085,9040.525585182695
soft_delay_priority,T027,A,aircraft,U04,flight,5467.334215311867,7098.868701550817
soft_delay_priority,T027,A,battery,A02,flight,5467.334215311867,7098.868701550817
soft_delay_priority,T027,A,battery,A02,charging,7098.868701550817,8224.160804241279
soft_delay_priority,T028,A,aircraft,U02,flight,5709.763221451083,6873.298434985564
soft_delay_priority,T028,A,battery,A05,flight,5709.763221451083,6873.298434985564
soft_delay_priority,T028,A,battery,A05,charging,6873.298434985564,7692.455675201165
original_main,T001,C,aircraft,U07,flight,0.0,2404.597882910281
original_main,T001,C,battery,C01,flight,0.0,2404.597882910281
original_main,T001,C,battery,C01,charging,2404.597882910281,4398.672189448818
original_main,T002,C,aircraft,U08,flight,0.0,1495.4261775174655
original_main,T002,C,battery,C02,flight,0.0,1495.4261775174655
original_main,T002,C,battery,C02,charging,1495.4261775174655,3038.637095537719
original_main,T003,C,aircraft,U08,flight,1495.4261775174655,3610.5078187959184
original_main,T003,C,battery,C03,flight,1495.4261775174655,3610.5078187959184
original_main,T003,C,battery,C03,charging,3610.5078187959184,6103.1735362475865
original_main,T004,B,aircraft,U05,flight,0.0,1209.979917269268
original_main,T004,B,battery,B01,flight,0.0,1209.979917269268
original_main,T004,B,battery,B01,charging,1209.979917269268,2352.630298205151
original_main,T005,B,aircraft,U06,flight,0.0,1440.9693925601796
original_main,T005,B,battery,B02,flight,0.0,1440.9693925601796
original_main,T005,B,battery,B02,charging,1440.9693925601796,2815.1225058287064
original_main,T006,C,aircraft,U07,flight,2404.597882910281,3900.0240604277465
original_main,T006,C,battery,C04,flight,2404.597882910281,3900.0240604277465
original_main,T006,C,battery,C04,charging,3900.0240604277465,5457.214436097678
original_main,T007,C,aircraft,U08,flight,3610.5078187959184,6046.317339653567
original_main,T007,C,battery,C02,flight,3610.5078187959184,6046.317339653567
original_main,T007,C,battery,C02,charging,6046.317339653567,8544.67161962808
original_main,T008,B,aircraft,U05,flight,1209.979917269268,3317.260890291095
original_main,T008,B,battery,B03,flight,1209.979917269268,3317.260890291095
original_main,T008,B,battery,B03,charging,3317.260890291095,4965.759383785937
original_main,T009,A,aircraft,U01,flight,0.0,2281.4599588363917
original_main,T009,A,battery,A01,flight,0.0,2281.4599588363917
original_main,T009,A,battery,A01,charging,2281.4599588363917,3649.403580614774
original_main,T010,A,aircraft,U02,flight,0.0,1712.4416357195464
original_main,T010,A,battery,A02,flight,0.0,1712.4416357195464
original_main,T010,A,battery,A02,charging,1712.4416357195464,2761.062337358848
original_main,T011,B,aircraft,U06,flight,1440.9693925601796,3548.2503655820065
original_main,T011,B,battery,B04,flight,1440.9693925601796,3548.2503655820065
original_main,T011,B,battery,B04,charging,3548.2503655820065,5221.432923006688
original_main,T012,A,aircraft,U03,flight,0.0,2130.6390887595826
original_main,T012,A,battery,A03,flight,0.0,2130.6390887595826
original_main,T012,A,battery,A03,charging,2130.6390887595826,3488.424083728015
original_main,T013,A,aircraft,U04,flight,0.0,1312.470877312685
original_main,T013,A,battery,A04,flight,0.0,1312.470877312685
original_main,T013,A,battery,A04,charging,1312.470877312685,2178.7887122874713
original_main,T014,C,aircraft,U07,flight,4398.672189448818,6571.85625441666
original_main,T014,C,battery,C01,flight,4398.672189448818,6571.85625441666
original_main,T014,C,battery,C01,charging,6571.85625441666,8905.60730693794
original_main,T015,B,aircraft,U05,flight,3317.260890291095,5275.3021617780905
original_main,T015,B,battery,B01,flight,3317.260890291095,5275.3021617780905
original_main,T015,B,battery,B01,charging,5275.3021617780905,7234.547789263681
original_main,T016,B,aircraft,U06,flight,3548.2503655820065,5446.291637069002
original_main,T016,B,battery,B02,flight,3548.2503655820065,5446.291637069002
original_main,T016,B,battery,B02,charging,5446.291637069002,7313.473788986611
original_main,T017,A,aircraft,U04,flight,1312.470877312685,3496.43027828567
original_main,T017,A,battery,A05,flight,1312.470877312685,3496.43027828567
original_main,T017,A,battery,A05,charging,3496.43027828567,4891.5950100041855
original_main,T018,A,aircraft,U02,flight,1712.4416357195464,4260.482532828468
original_main,T018,A,battery,A06,flight,1712.4416357195464,4260.482532828468
original_main,T018,A,battery,A06,charging,4260.482532828468,5653.135283236679
original_main,T019,A,aircraft,U03,flight,2178.7887122874713,3402.323925821952
original_main,T019,A,battery,A04,flight,2178.7887122874713,3402.323925821952
original_main,T019,A,battery,A04,charging,3402.323925821952,4236.132232700142
original_main,T020,B,aircraft,U05,flight,5275.3021617780905,7558.434268462624
original_main,T020,B,battery,B03,flight,5275.3021617780905,7558.434268462624
original_main,T020,B,battery,B03,charging,7558.434268462624,9563.364402518835
original_main,T021,A,aircraft,U01,flight,2761.062337358848,4456.820442027312
original_main,T021,A,battery,A02,flight,2761.062337358848,4456.820442027312
original_main,T021,A,battery,A02,charging,4456.820442027312,5572.014766507011
original_main,T022,A,aircraft,U03,flight,3488.424083728015,5832.271158439987
original_main,T022,A,battery,A03,flight,3488.424083728015,5832.271158439987
original_main,T022,A,battery,A03,charging,5832.271158439987,7195.835141689561
original_main,T023,A,aircraft,U04,flight,3649.403580614774,5345.1616852832385
original_main,T023,A,battery,A01,flight,3649.403580614774,5345.1616852832385
original_main,T023,A,battery,A01,charging,5345.1616852832385,6481.13799743944
original_main,T024,B,aircraft,U06,flight,5446.291637069002,6965.315981480857
original_main,T024,B,battery,B04,flight,5446.291637069002,6965.315981480857
original_main,T024,B,battery,B04,charging,6965.315981480857,8429.998065419348
original_main,T025,A,aircraft,U02,flight,4260.482532828468,5892.017019067417
original_main,T025,A,battery,A04,flight,4260.482532828468,5892.017019067417
original_main,T025,A,battery,A04,charging,5892.017019067417,7034.439456246651
original_main,T026,A,aircraft,U01,flight,4891.5950100041855,6801.804856981005
original_main,T026,A,battery,A05,flight,4891.5950100041855,6801.804856981005
original_main,T026,A,battery,A05,charging,6801.804856981005,7984.869775288056
original_main,T027,A,aircraft,U04,flight,5572.014766507011,7203.54925274596
original_main,T027,A,battery,A02,flight,5572.014766507011,7203.54925274596
original_main,T027,A,battery,A02,charging,7203.54925274596,8328.841355436422
original_main,T028,A,aircraft,U03,flight,5832.271158439987,6995.806371974468
original_main,T028,A,battery,A06,flight,5832.271158439987,6995.806371974468
original_main,T028,A,battery,A06,charging,6995.806371974468,7814.9636121900685
original_energy,T001,C,aircraft,U07,flight,0.0,2115.081641278453
original_energy,T001,C,battery,C01,flight,0.0,2115.081641278453
original_energy,T001,C,battery,C01,charging,2115.081641278453,4607.747358730121
original_energy,T002,B,aircraft,U05,flight,0.0,1914.349578812606
original_energy,T002,B,battery,B01,flight,0.0,1914.349578812606
original_energy,T002,B,battery,B01,charging,1914.349578812606,3595.673759185719
original_energy,T003,C,aircraft,U08,flight,0.0,1495.4261775174655
original_energy,T003,C,battery,C02,flight,0.0,1495.4261775174655
original_energy,T003,C,battery,C02,charging,1495.4261775174655,3038.637095537719
original_energy,T004,B,aircraft,U06,flight,0.0,1561.3142478660018
original_energy,T004,B,battery,B02,flight,0.0,1561.3142478660018
original_energy,T004,B,battery,B02,charging,1561.3142478660018,2918.760173881138
original_energy,T005,A,aircraft,U01,flight,0.0,1312.470877312685
original_energy,T005,A,battery,A01,flight,0.0,1312.470877312685
original_energy,T005,A,battery,A01,charging,1312.470877312685,2178.7887122874713
original_energy,T006,C,aircraft,U08,flight,1495.4261775174655,3900.0240604277465
original_energy,T006,C,battery,C03,flight,1495.4261775174655,3900.0240604277465
original_energy,T006,C,battery,C03,charging,3900.0240604277465,5894.098366966284
original_energy,T007,A,aircraft,U02,flight,0.0,2281.4599588363917
original_energy,T007,A,battery,A02,flight,0.0,2281.4599588363917
original_energy,T007,A,battery,A02,charging,2281.4599588363917,3649.403580614774
original_energy,T008,A,aircraft,U03,flight,0.0,1316.0142144169886
original_energy,T008,A,battery,A03,flight,0.0,1316.0142144169886
original_energy,T008,A,battery,A03,charging,1316.0142144169886,2194.736329391266
original_energy,T009,C,aircraft,U07,flight,2115.081641278453,3610.5078187959184
original_energy,T009,C,battery,C04,flight,2115.081641278453,3610.5078187959184
original_energy,T009,C,battery,C04,charging,3610.5078187959184,5167.698194465849
original_energy,T010,B,aircraft,U06,flight,1561.3142478660018,3668.595220887829
original_energy,T010,B,battery,B03,flight,1561.3142478660018,3668.595220887829
original_energy,T010,B,battery,B03,charging,3668.595220887829,5341.77777831251
original_energy,T011,A,aircraft,U04,flight,0.0,2130.6390887595826
original_energy,T011,A,battery,A04,flight,0.0,2130.6390887595826
original_energy,T011,A,battery,A04,charging,2130.6390887595826,3488.424083728015
original_energy,T012,B,aircraft,U05,flight,1914.349578812606,4021.630551834433
original_energy,T012,B,battery,B04,flight,1914.349578812606,4021.630551834433
original_energy,T012,B,battery,B04,charging,4021.630551834433,5670.129045329275
original_energy,T013,A,aircraft,U01,flight,1312.470877312685,3496.43027828567
original_energy,T013,A,battery,A05,flight,1312.470877312685,3496.43027828567
original_energy,T013,A,battery,A05,charging,3496.43027828567,4891.5950100041855
original_energy,T014,A,aircraft,U03,flight,1316.0142144169886,3659.86128912896
original_energy,T014,A,battery,A06,flight,1316.0142144169886,3659.86128912896
original_energy,T014,A,battery,A06,charging,3659.86128912896,5039.780612440765
