scheme,weighted_delivery_seconds,weighted_soft_delay_seconds,makespan,energy_kwh,sortie_count
soft_delay_priority,2662962.4802919086,0,7350.4068166783945,77.05945901639045,28
original_main,2735557.495136332,0,7558.434268462624,77.05945901639045,28
original_energy,2809611.6208803034,0,7531.736524399572,74.33663568052843,25
refined_energy,2808098.9475167473,0,7531.736524399572,74.09697341174574,25
