metric,before,after
联合完工时间/s,7444.455885352581,7151.696926783366
总能耗/kWh,69.33077492124396,70.58596548849061
加权送达时间/优先级·s,2938847.2843777444,2971140.3829050884
加权软延误,0,0
运输架次,24,24
中继架次,4,4
2组缺口/件,4,5
2组设备总数/件,31,32
2组工作量CV,0.18278601886340515,0.18951934577236842
3组缺口/件,7,8
3组设备总数/件,34,35
3组工作量CV,0.2765450370598209,0.26302690003118917
