id,group_count,resource_total,shortage_total,workload_cv,stock_sufficient,assignment_replay_passed,need_A_aircraft,shortage_A_aircraft,need_B_aircraft,shortage_B_aircraft,need_C_aircraft,shortage_C_aircraft,need_A_batteries,shortage_A_batteries,need_B_batteries,shortage_B_batteries,need_C_batteries,shortage_C_batteries,need_relay_aircraft,shortage_relay_aircraft,need_relay_components,shortage_relay_components
P13_245_6,3,38,11,0.6690321750409174,False,True,6,2,3,1,5,3,7,1,5,1,6,2,3,1,3,0
P13_246_5,3,40,13,0.30927444053122294,False,True,6,2,5,3,4,2,7,1,7,3,5,1,3,1,3,0
P13_24_56,3,42,15,0.2725939078988848,False,True,6,2,5,3,5,3,7,1,7,3,6,2,3,1,3,0
P13_256_4,3,39,12,0.6074732734378686,False,True,7,3,3,1,5,3,7,1,5,1,6,2,3,1,3,0
P13_25_46,3,38,11,0.5546486353203715,False,True,7,3,3,1,5,3,7,1,5,1,5,1,3,1,3,0
P13_26_45,3,43,16,0.24054203757689768,False,True,7,3,5,3,5,3,7,1,7,3,6,2,3,1,3,0
P13_2_456,3,42,15,0.22486849616714616,False,True,7,3,5,3,5,3,7,1,7,3,5,1,3,1,3,0
P1456_23,2,41,14,0.3097514474787095,False,True,6,2,4,2,4,2,8,2,7,3,6,2,3,1,3,0
P1456_2_3,3,45,18,0.08246967223497986,False,True,8,4,5,3,5,3,8,2,7,3,6,2,3,1,3,0
P145_236,2,42,15,0.35643636424646374,False,True,6,2,4,2,4,2,8,2,7,3,7,3,3,1,3,0
P145_23_6,3,43,16,0.7738551974806869,False,True,6,2,4,2,5,3,8,2,7,3,7,3,3,1,3,0
P145_26_3,3,46,19,0.055678809201764164,False,True,8,4,5,3,5,3,8,2,7,3,7,3,3,1,3,0
P145_2_36,3,47,20,0.10993941759544629,False,True,8,4,5,3,6,4,8,2,7,3,7,3,3,1,3,0
P146_235,2,35,8,0.6959863869453585,False,True,6,2,2,0,4,2,8,2,4,0,6,2,2,0,3,0
P146_23_5,3,41,14,0.6839502318662802,False,True,6,2,4,2,4,2,8,2,7,3,6,2,3,1,3,0
P146_25_3,3,41,14,0.41581268263941207,False,True,8,4,3,1,5,3,8,2,5,1,6,2,3,1,3,0
P146_2_35,3,43,16,0.4972403089831501,False,True,8,4,4,2,5,3,8,2,6,2,6,2,3,1,3,0
P14_2356,2,36,9,0.7426713037131129,False,True,6,2,2,0,4,2,8,2,4,0,7,3,2,0,3,0
P14_235_6,3,37,10,1.099352319808222,False,True,6,2,2,0,5,3,8,2,4,0,7,3,2,0,3,0
P14_236_5,3,42,15,0.7358575422496941,False,True,6,2,4,2,4,2,8,2,7,3,7,3,3,1,3,0
P14_23_56,3,43,16,0.6905178386692665,False,True,6,2,4,2,5,3,8,2,7,3,7,3,3,1,3,0
P14_256_3,3,42,15,0.4725390015699903,False,True,8,4,3,1,5,3,8,2,5,1,7,3,3,1,3,0
P14_25_36,3,43,16,0.4530260861685163,False,True,8,4,3,1,6,4,8,2,5,1,7,3,3,1,3,0
P14_26_35,3,44,17,0.5201863385710344,False,True,8,4,4,2,5,3,8,2,6,2,7,3,3,1,3,0
P14_2_356,3,45,18,0.5537394618281568,False,True,8,4,4,2,6,4,8,2,6,2,7,3,3,1,3,0
P156_234,2,39,12,0.41005943159723285,False,True,5,1,4,2,4,2,7,1,7,3,6,2,3,1,3,0
P156_23_4,3,42,15,0.7450874546477128,False,True,6,2,4,2,5,3,8,2,7,3,6,2,3,1,3,0
P156_24_3,3,44,17,0.08316969544228023,False,True,7,3,5,3,5,3,8,2,7,3,6,2,3,1,3,0
P156_2_34,3,43,16,0.16194393791629635,False,True,7,3,5,3,5,3,7,1,7,3,6,2,3,1,3,0
P15_2346,2,39,12,0.4567443483649871,False,True,5,1,4,2,4,2,7,1,7,3,6,2,3,1,3,0
P15_234_6,3,41,14,0.8450919114761893,False,True,5,1,4,2,5,3,7,1,7,3,7,3,3,1,3,0
P15_236_4,3,43,16,0.7802762355224604,False,True,6,2,4,2,5,3,8,2,7,3,7,3,3,1,3,0
P15_23_46,3,42,15,0.7239729639894642,False,True,6,2,4,2,5,3,8,2,7,3,6,2,3,1,3,0
P15_246_3,3,44,17,0.13139517062923797,False,True,7,3,5,3,5,3,8,2,7,3,6,2,3,1,3,0
P15_24_36,3,46,19,0.13866121223043704,False,True,7,3,5,3,6,4,8,2,7,3,7,3,3,1,3,0
P15_26_34,3,44,17,0.17189830370888023,False,True,7,3,5,3,5,3,7,1,7,3,7,3,3,1,3,0
P15_2_346,3,44,17,0.21344759872076705,False,True,7,3,5,3,6,4,7,1,7,3,6,2,3,1,3,0
P16_2345,2,33,6,0.796294371063882,False,True,5,1,2,0,4,2,7,1,4,0,6,2,2,0,3,0
P16_234_5,3,39,12,0.7963703656409075,False,True,5,1,4,2,4,2,7,1,7,3,6,2,3,1,3,0
P16_235_4,3,36,9,1.09359298860756,False,True,6,2,2,0,5,3,8,2,4,0,6,2,2,0,3,0
P16_23_45,3,42,15,0.7037411743267057,False,True,6,2,4,2,5,3,8,2,7,3,6,2,3,1,3,0
P16_245_3,3,40,13,0.5378136135942635,False,True,7,3,3,1,5,3,8,2,5,1,6,2,3,1,3,0
