label,weighted_soft_delay,weighted_delivery_seconds,makespan,energy_kwh,transport_energy_kwh,relay_energy_kwh,transport_sorties,relay_sorties,total_sorties,hard_violations,minimum_hard_margin_seconds,components,q4_two_and_three_available,two_min_resources,two_shortage_at_min_resources,two_cv_at_min_resources,three_min_resources,three_shortage_at_min_resources,validation
baseline,0,2634274.0032893578,6390.534653380882,72.79802580771732,69.30723683159759,3.4907889761197355,23,3,26,0,21.054320164972523,3,True,29,2,0.9581615166591445,35,8,PASS
results_q3_complete/plans/alns_002_merge.json,65481.544772559035,3122949.268412115,9868.053128909793,72.80140744584085,68.9897167013868,3.811690744454049,22,7,29,0,48.17765376949228,3,True,28,2,0.9586989035623571,32,5,PASS
results_q3_complete/plans/balanced_24_2026.json,0,2808950.5076264874,6341.040897108922,71.96115327439269,69.15451555444506,2.806637719947629,24,5,29,0,209.1391821402267,3,True,30,2,0.9573932459227953,36,8,PASS
results_q3_complete/plans/balanced_24_2027.json,0,2817738.5076264874,6341.040897108922,71.98529216328157,69.15451555444506,2.830776608836518,24,5,29,0,104.1391821402267,3,True,30,2,0.957453436432572,36,8,PASS
results_q3_complete/plans/baseline_recertified.json,1416548.6911612228,5438318.76751968,16304.91681490707,74.85485348124014,69.15451555444506,5.700337926795088,24,9,33,0,287.3504698527554,3,True,25,1,0.9642081357338913,30,4,PASS
results_q3_complete/plans/baseline_routes_2026.json,0,2659718.5076264874,6658.7581046684645,72.5153176176905,69.15451555444506,3.3608020632454423,24,3,27,0,183.1391821402267,3,True,29,2,0.9583179743112135,35,8,PASS
results_q3_complete/plans/baseline_routes_2027.json,0,2821260.5076264874,6350.534653380882,71.84772693615166,69.15451555444506,2.6932113817066017,24,5,29,0,729.1256528391059,3,True,29,2,0.9571200065511667,35,8,PASS
results_q3_complete/plans/fastest_25_2026.json,0,2846434.193092335,7145.470877312685,73.12357501432774,70.19198829395475,2.931586720372985,25,4,29,0,122.1391821402267,3,True,29,2,0.9583179466159203,35,8,PASS
results_q3_complete/plans/fastest_25_2027.json,0,2710734.193092335,6658.7581046684645,73.52969393674115,70.19198829395475,3.3377056427864016,25,3,28,0,183.1391821402267,3,True,29,2,0.9590799529565093,35,8,PASS
results_q3_complete/plans/q4_compatible.json,0,2688138.5076264874,7880.847074711972,72.83838994571158,69.15451555444506,3.6838743912665226,24,5,29,0,1101.2467080320325,3,True,28,1,0.9595019678537401,34,7,PASS
results_q3_complete/plans/warm_start.json,0,2709476.5076264874,6659.7581046684645,72.1630352839318,69.15451555444506,3.0085197294867534,24,4,28,0,264.1391821402267,3,True,29,2,0.9576831081596492,35,8,PASS
results_q3_q4_frontier/fast24/plans/makespan_2030.json,0,2693930.5076264874,6275.184064967842,72.15393560815137,69.15451555444506,2.9994200537063183,24,4,28,0,255.1391821402267,3,True,29,2,0.9576468463052822,35,8,PASS
results_q3_q4_frontier/fine/plans/makespan_2030.json,0,2624970.0032893578,6311.184064967842,72.72897025216177,69.30723683159759,3.4217334205641796,23,3,26,0,79.05432016497252,3,True,29,2,0.9579945815521823,35,8,PASS
results_q3_q4_frontier/fine/plans/timely_2030.json,0,2624970.0032893578,6311.184064967842,72.72897025216177,69.30723683159759,3.4217334205641796,23,3,26,0,79.05432016497252,3,True,29,2,0.9579945815521823,35,8,PASS
results_q3_q4_frontier/fine3/plans/makespan_2030.json,0,2650642.0032893578,6296.184064967842,72.71338691882843,69.30723683159759,3.406150087230847,23,3,26,0,94.05432016497252,3,True,29,2,0.9579567259627857,35,8,PASS
results_q3_q4_frontier/fine3_capped/plans/timely_2030.json,0,2623200.0032893578,6307.7581046684645,72.71919247438399,69.30723683159759,3.411955642786402,23,3,26,0,94.05432016497252,3,True,29,2,0.9579708369975914,35,8,PASS
