label,weighted_soft_delay,weighted_delivery_seconds,makespan,energy_kwh,transport_energy_kwh,relay_energy_kwh,transport_sorties,relay_sorties,total_sorties,hard_violations,minimum_hard_margin_seconds,components,q4_two_and_three_available,two_min_resources,two_shortage_at_min_resources,two_cv_at_min_resources,three_min_resources,three_shortage_at_min_resources,validation
results_q3_complete/plans/balanced_24_2026.json,0,2808950.5076264874,6341.040897108922,71.96115327439269,69.15451555444506,2.806637719947629,24,5,29,0,209.1391821402267,3,True,30,2,0.9573932459227953,36,8,PASS
results_q3_complete/plans/baseline_routes_2027.json,0,2821260.5076264874,6350.534653380882,71.84772693615166,69.15451555444506,2.6932113817066017,24,5,29,0,729.1256528391059,3,True,29,2,0.9571200065511667,35,8,PASS
results_q3_q4_frontier/fine3/plans/makespan_2030.json,0,2650642.0032893578,6296.184064967842,72.71338691882843,69.30723683159759,3.406150087230847,23,3,26,0,94.05432016497252,3,True,29,2,0.9579567259627857,35,8,PASS
results_q3_q4_frontier/fine3_capped/plans/timely_2030.json,0,2623200.0032893578,6307.7581046684645,72.71919247438399,69.30723683159759,3.411955642786402,23,3,26,0,94.05432016497252,3,True,29,2,0.9579708369975914,35,8,PASS
results_q3_q4_frontier/med_fast/plans/makespan_2030.json,0,2664446.9163166224,6456.534653380882,71.96380795438162,68.43268564492855,3.5311223094530684,23,3,26,0,21.054320164972523,3,True,29,2,0.9577250037184335,35,8,PASS
results_q3_q4_frontier/med_fast/plans/timely_2030.json,0,2657438.9163166224,6565.809520857649,71.82478017660385,68.43268564492855,3.392094531675291,23,3,26,0,21.054320164972523,3,True,29,2,0.9573804460921764,35,8,PASS
results_q3_q4_frontier/moves/plans/move_S004-MED-01_T014_T019.json,0,2657438.9163166224,6565.809520857649,71.82478017660385,68.43268564492855,3.392094531675291,23,3,26,0,21.054320164972523,3,True,29,2,0.9573804460921764,35,8,PASS
results_q3_q4_frontier/moves/plans/move_S007-MED-01_T002_T010.json,0,2892725.5626575965,7536.534653380882,71.8043831984688,67.97100210560633,3.8333810928624614,23,5,28,0,118.05432016497252,3,True,28,1,0.9587144809771425,32,5,PASS
results_q3_q4_frontier/moves/plans/move_S015-MED-01_T007_T020.json,0,2655522.854715196,7033.297538856334,72.44330302455606,68.73801404843633,3.705288976119735,23,3,26,0,21.054320164972523,3,True,29,2,0.9583195372514267,35,8,PASS
results_q3_q4_frontier/polished/plans/polished_energy.json,0,3341885.780312233,11233.57299249031,71.00789913182099,67.33833777429322,3.6695613575277717,23,5,28,0,0.054320164972523344,3,True,26,2,0.9582430379007209,31,6,PASS
results_q3_q4_frontier/polished/plans/polished_fastest.json,0,2693930.5076264874,6275.184064967842,72.15271338592915,69.15451555444506,2.998197831484096,24,4,28,0,255.1391821402267,3,True,29,2,0.9576438303811194,35,8,PASS
results_q3_q4_frontier/polished/plans/polished_primary.json,0,2623200.0032893578,6307.7581046684645,72.71919247438399,69.30723683159759,3.411955642786402,23,3,26,0,94.05432016497252,3,True,29,2,0.9579708369975914,35,8,PASS
