partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P156_234,G2,relay_components,G2-relay_components-01,R001,190.137319029409,2344.3073253046314,R002,1562.904193694043,RE02,existing
P156_234,G2,relay_components,G2-relay_components-01,R002,3907.2115189986744,8084.5472154177,,,RE02,existing
P156_234,G2,relay_components,G2-relay_components-02,R003,2004.2977389089663,8588.743789022035,,,RE03,existing
P15_2346,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,,,U01,existing
P15_2346,G1,B_aircraft,G1-B_aircraft-01,T002_2,0.0,1500.9693925601796,T008,5.000099999999975,U05,existing
P15_2346,G1,B_aircraft,G1-B_aircraft-01,T008,1505.9694925601796,3350.508382715747,,,U05,existing
P15_2346,G1,B_aircraft,G1-B_aircraft-02,T015,0.0,1554.5713591276817,T011,5.000100000000202,U06,existing
P15_2346,G1,B_aircraft,G1-B_aircraft-02,T011,1559.571459127682,3503.5959031496714,,,U06,existing
P15_2346,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,,,U07,existing
P15_2346,G1,C_aircraft,G1-C_aircraft-02,T003,1438.035182877992,2867.4613603954576,,,U08,existing
P15_2346,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,,,A01,existing
P15_2346,G1,B_batteries,G1-B_batteries-01,T002_2,0.0,2956.647180248775,,,B01,existing
P15_2346,G1,B_batteries,G1-B_batteries-02,T015,0.0,3010.3575010505742,,,B02,existing
P15_2346,G1,B_batteries,G1-B_batteries-03,T008,1505.9694925601796,4939.170345795129,,,B03,existing
P15_2346,G1,B_batteries,G1-B_batteries-04,T011,1559.571459127682,5367.702780894794,,,B04,existing
P15_2346,G1,C_batteries,G1-C_batteries-01,T001,0.0,3150.0928537629516,,,C01,existing
P15_2346,G1,C_batteries,G1-C_batteries-02,T003,1438.035182877992,4385.641813543676,,,C02,existing
P15_2346,G1,relay_aircraft,G1-relay_aircraft-01,R004,96.18236555369045,3902.2114189986755,,,R01,existing
P15_2346,G1,relay_components,G1-relay_components-01,R004,96.18236555369045,4498.791383917484,,,RE01,existing
P15_2346,G2,A_aircraft,G2-A_aircraft-01,T007_HARD,0.0,1712.4416357195464,T007,1954.6325642497204,U02,existing
P15_2346,G2,A_aircraft,G2-A_aircraft-01,T007,3667.074199969267,6275.115097078189,,,U02,existing
P15_2346,G2,A_aircraft,G2-A_aircraft-02,T007_SOFT,0.0,1712.4416357195464,T004,291.6700045683433,U03,existing
P15_2346,G2,A_aircraft,G2-A_aircraft-02,T004,2004.1116402878897,4285.571599124281,T022,5.000100000000202,U03,existing
P15_2346,G2,A_aircraft,G2-A_aircraft-02,T022,4290.571699124282,5982.106185363231,,,U03,existing
P15_2346,G2,A_aircraft,G2-A_aircraft-03,T009,0.0,1316.0142144169886,T020,2371.059985552276,U04,existing
P15_2346,G2,A_aircraft,G2-A_aircraft-03,T020,3687.0741999692646,5657.284046946083,,,U04,existing
P15_2346,G2,A_aircraft,G2-A_aircraft-04,T014_1,3769.074199969265,5464.83230463773,T016,5.000099999999293,NEW-A_aircraft-01,procurement_required
P15_2346,G2,A_aircraft,G2-A_aircraft-04,T016,5469.832404637729,7165.590509306194,,,NEW-A_aircraft-01,procurement_required
P15_2346,G2,B_aircraft,G2-B_aircraft-01,T013,3355.5084827157466,5313.549754202741,T019_1,59.153126692053775,NEW-B_aircraft-01,procurement_required
P15_2346,G2,B_aircraft,G2-B_aircraft-01,T019_1,5372.702880894794,6891.727225306649,,,NEW-B_aircraft-01,procurement_required
P15_2346,G2,B_aircraft,G2-B_aircraft-02,T006,3508.596003149672,4698.226288886111,T021,615.3235653166303,NEW-B_aircraft-02,procurement_required
P15_2346,G2,B_aircraft,G2-B_aircraft-02,T021,5313.549854202742,7211.591125689736,,,NEW-B_aircraft-02,procurement_required
P15_2346,G2,C_aircraft,G2-C_aircraft-01,T010_2,0.0,1433.035082877992,T012,521.0765574098975,NEW-C_aircraft-01,procurement_required
