partition,group,zones,boxes,cargo_kg,transport_sorties,relay_sorties,work_seconds,energy_kwh,need_A_aircraft,occupancy_A_aircraft,need_B_aircraft,occupancy_B_aircraft,need_C_aircraft,occupancy_C_aircraft,need_A_batteries,occupancy_A_batteries,need_B_batteries,occupancy_B_batteries,need_C_batteries,occupancy_C_batteries,need_relay_aircraft,occupancy_relay_aircraft,need_relay_components,occupancy_relay_components
P1,G1,S001,15,154.0,3,0,4303.323232347616,6.585612675751017,1,0.4166451397598866,0,0.0,2,0.47472447541700247,1,0.6916585679957953,0,0.0,2,0.9678602770620893,0,0.0,0,0.0
P1,G2,S002|S003|S004|S005|S006|S007|S008|S009|S010|S011|S012|S013|S014|S015,65,604.0,20,3,52853.6568153695,66.57014214171001,4,0.5513259537088776,2,0.5643986457506989,2,0.5174904091020697,6,0.5942613776096413,4,0.5453405409349565,4,0.5190135004873164,2,0.7108682183943754,3,0.5462131267567714
P2,G1,S001|S011,18,179.0,4,0,5492.953518084055,7.662783930280744,1,0.31450958446242333,1,0.2850730887049948,2,0.35835146807085844,1,0.5221067715696797,1,0.5566814157074328,2,0.7306009467238973,0,0.0,0,0.0
P2,G2,S002|S003|S004|S005|S006|S007|S008|S009|S010|S012|S013|S014|S015,62,579.0,19,3,51664.026529633054,65.49297088718028,4,0.5513259537088776,2,0.5003199085077763,2,0.5174904091020697,6,0.5942613776096413,3,0.6437001446097427,4,0.5190135004873164,2,0.7108682183943754,3,0.5462131267567714
P3,G1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S010|S012|S013|S014|S015,77,733.0,22,3,55967.34976198067,72.0785835629313,4,0.5866736905203377,2,0.5003199085077763,2,0.678590916115489,6,0.6333811027535157,3,0.6437001446097427,4,0.6832380027271547,2,0.7108682183943754,3,0.5462131267567714
P3,G2,S011,3,25.0,1,0,1189.630285736439,1.077171254529726,0,0.0,1,0.5120937769095865,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
P4,G1,S001,15,154.0,3,0,4303.323232347616,6.585612675751017,1,0.4166451397598866,0,0.0,2,0.47472447541700247,1,0.6916585679957953,0,0.0,2,0.9678602770620893,0,0.0,0,0.0
P4,G2,S002|S003|S004|S005|S006|S007|S008|S009|S010|S012|S013|S014|S015,62,579.0,19,3,51664.026529633054,65.49297088718028,4,0.5513259537088776,2,0.5003199085077763,2,0.5174904091020697,6,0.5942613776096413,3,0.6437001446097427,4,0.5190135004873164,2,0.7108682183943754,3,0.5462131267567714
P4,G3,S011,3,25.0,1,0,1189.630285736439,1.077171254529726,0,0.0,1,0.5120937769095865,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
