scheme,source,sha256,extra_loss_db,required_buffer_seconds,weighted_soft_delay,weighted_delivery_seconds,makespan,energy_kwh,transport_energy_kwh,relay_energy_kwh,transport_sorties,relay_sorties,total_sorties,hard_deadline_min_margin_seconds,communication_margin_lower_db,aircraft_min_handoff_seconds,battery_min_handoff_seconds,relay_min_handoff_seconds,q4_recommended,q4_two_group_shortage,q4_two_group_resources,q4_two_group_cv,q4_three_group_shortage,status
previous_primary,results_q3_q4_resilience\selection\primary\q3_plan.json,9d703feb8b42059ffd5e1cd5ae6531f4a860a853806a96e9b5bc519a059f5f6e,1.0,0.0,0,2613406.0032893578,6307.7581046684645,72.67597306146124,69.30723683159759,3.36873622986365,23,3,26,177.05432016497252,0.03130229755301883,0.050585059482727956,0.5759162719850792,0.8955925909117468,P3,2,29,0.9578588592313401,8,PASS
previous_buffer30,results_q3_q4_resilience\selection\radio1_buffer30_coarse\q3_plan.json,0b1be7cde8b4da46afa9ad739d1e504060b1a9af33e96a14b389df05aaadbabc,1.0,30.0,0,2635066.0032893578,6367.7581046684645,72.70347306146124,69.30723683159759,3.3962362298636504,23,3,26,147.05432016497252,0.03130229755301883,30.050585059482728,30.57591627198508,30.895592590911747,P3,2,29,0.9579259281545615,8,PASS
previous_stock,results_q3_q4_refined\rebatch_stock\plans\independent_two_variable.json,c8949ef773f883428dd3ae18d11633ada1548f7f617d17641b069bd268d2381f,0.0,5.0,32146.229543012156,2914878.2276339605,7730.534653380882,75.62245868223262,71.54866970611289,4.073788976119735,23,3,26,7.054320164972523,0.28939259213529667,5.099795657474488,5.211287712528701,5.93609768073884,P3,0,26,0.9599885253561343,5,PASS
nominal_0p2,results_q3_q4_timing\selection\nominal_0p2\q3_plan.json,10c62c5e285eeb90d11b118e939ba4683e1c6e34a46dbbe7c696091d2bec56ea,1.0,0.2,0,2613114.4431095044,6307.746808368564,72.67590806570331,69.30723683159759,3.3686712341057117,23,3,26,177.7496127558843,0.021782980006676667,0.20009999999956563,0.20009999999911088,0.20010000000002037,P3,2,29,0.9578587004618565,8,PASS
buffer5_timely,results_q3_q4_timing\selection\buffer5_timely\q3_plan.json,fe6fa5d3a2c48e9ed5044e9e5b69999f9809d58467042ed39cb61a1d5994b125,1.0,5.0,0,2616580.043109504,6317.346808368565,72.6803080657033,69.30723683159759,3.3730712341057116,23,3,26,172.94961275588366,0.021782980006676667,5.000099999999293,5.000099999999293,5.000100000000657,P3,2,29,0.9578694459358936,8,PASS
buffer5_energy,results_q3_q4_timing\selection\buffer5_energy\q3_plan.json,c9629563195cf032b6cd72c4fc7704fe320e1c17ac36bbcf5c70e3b9658691c2,1.0,5.0,0,2623734.624411532,6317.346808368566,72.65586362431442,69.30723683159759,3.3486267927168223,23,3,26,172.94961275588457,0.021782980006676667,5.0000999999997475,5.0000999999997475,5.000100000000657,P3,2,29,0.9578096794225089,8,PASS
buffer30_retimed,results_q3_q4_timing\selection\buffer30_retimed\q3_plan.json,ba940da076880471520fe0f4ca57ee8497e8d0ced85efa9a0946295619ed3132,1.0,30.1,0,2634702.2431095038,6367.546808368564,72.70331639903664,69.30723683159759,3.3960795674390445,23,3,26,147.84961275588466,0.021782980006676667,30.100099999999202,30.10010000000011,30.100099999999657,P3,2,29,0.9579255466799163,8,PASS
stock_zero_shortage,results_q3_q4_timing\selection\stock_zero_shortage\q3_plan.json,e6c3b98b7a9d3c75dfa5472dadeced8de3f62c0cf447cad5630ed35d4c18225e,0.0,5.0,32104.921524269652,2914415.936081171,7728.469049694268,75.60314909590043,71.54866970611289,4.054479389787544,23,3,26,7.154015822447036,0.28939259213529667,5.000099999999293,5.000100000000202,5.000100121949799,P3,0,26,0.9599459584898291,5,PASS
