partition,group,zones,boxes,cargo_kg,transport_sorties,relay_sorties,work_seconds,energy_kwh,need_A_aircraft,occupancy_A_aircraft,need_B_aircraft,occupancy_B_aircraft,need_C_aircraft,occupancy_C_aircraft,need_A_batteries,occupancy_A_batteries,need_B_batteries,occupancy_B_batteries,need_C_batteries,occupancy_C_batteries,need_relay_aircraft,occupancy_relay_aircraft,need_relay_components,occupancy_relay_components
P1,G1,S001,15,154.0,3,0,4303.323232347616,6.585612675751017,1,0.4166451397598866,0,0.0,2,0.47472447541700247,1,0.6916585679957953,0,0.0,2,0.9678602770620893,0,0.0,0,0.0
P1,G2,S002|S003|S004|S005|S006|S007|S008|S009|S010|S011|S012|S013|S014|S015,65,604.0,20,5,52675.4523264699,64.42228645606998,3,0.24769903231220713,2,0.7933646483498146,2,0.35759089803922733,3,0.39354626010176524,4,0.7652760238431017,4,0.36433655017104366,2,0.5844385247779583,3,0.4542045862642582
P2,G1,S001|S011,18,179.0,4,0,5492.953518084055,7.662783930280744,1,0.1292429030072712,1,0.11714642533536154,2,0.1472590544722452,1,0.2145517916497128,1,0.2287597128055796,2,0.3002292838097555,0,0.0,0,0.0
P2,G2,S002|S003|S004|S005|S006|S007|S008|S009|S010|S012|S013|S014|S015,62,579.0,19,5,51485.82204073347,63.34511520154025,3,0.24769903231220713,2,0.7470986248467237,2,0.35759089803922733,3,0.39354626010176524,4,0.7201026341347754,4,0.36433655017104366,2,0.5844385247779583,3,0.4542045862642582
P3,G1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S010|S012|S013|S014|S015,77,733.0,22,5,55789.145273081085,69.93072787729128,3,0.28172798465980176,2,0.7470986248467237,2,0.4739084187105005,4,0.3375274335996244,4,0.7201026341347754,4,0.48290965269033465,2,0.5844385247779583,3,0.4542045862642582
P3,G2,S011,3,25.0,1,0,1189.630285736439,1.077171254529726,0,0.0,1,0.5120937769095865,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
P4,G1,S001,15,154.0,3,0,4303.323232347616,6.585612675751017,1,0.4166451397598866,0,0.0,2,0.47472447541700247,1,0.6916585679957953,0,0.0,2,0.9678602770620893,0,0.0,0,0.0
P4,G2,S002|S003|S004|S005|S006|S007|S008|S009|S010|S012|S013|S014|S015,62,579.0,19,5,51485.82204073347,63.34511520154025,3,0.24769903231220713,2,0.7470986248467237,2,0.35759089803922733,3,0.39354626010176524,4,0.7201026341347754,4,0.36433655017104366,2,0.5844385247779583,3,0.4542045862642582
P4,G3,S011,3,25.0,1,0,1189.630285736439,1.077171254529726,0,0.0,1,0.5120937769095865,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
