partition,group,zones,boxes,cargo_kg,transport_sorties,relay_sorties,work_seconds,energy_kwh,need_A_aircraft,occupancy_A_aircraft,need_B_aircraft,occupancy_B_aircraft,need_C_aircraft,occupancy_C_aircraft,need_A_batteries,occupancy_A_batteries,need_B_batteries,occupancy_B_batteries,need_C_batteries,occupancy_C_batteries,need_relay_aircraft,occupancy_relay_aircraft,need_relay_components,occupancy_relay_components
P1,G1,S001,15,154.0,3,0,4303.323232347616,6.585612675751017,1,0.4166451397598866,0,0.0,2,0.47472447541700247,1,0.6916585679957953,0,0.0,2,0.9678602770620893,0,0.0,0,0.0
P1,G2,S002|S003|S004|S005|S006|S007|S008|S009|S010|S011|S012|S013|S014|S015,65,604.0,20,3,51312.724330240926,65.83269076482784,4,0.5517794374058151,2,0.6261027686429999,2,0.512453157492974,6,0.5907486629540669,4,0.6102795137588517,4,0.5221201561589168,2,0.6678935402081804,3,0.5145159718233803
P2,G1,S001|S011,18,179.0,4,0,5492.953518084055,7.662783930280744,1,0.3145443329793693,1,0.2851045849376792,2,0.3583910604479307,1,0.5221644564126726,1,0.5567429205217942,2,0.7306816669964491,0,0.0,0,0.0
P2,G2,S002|S003|S004|S005|S006|S007|S008|S009|S010|S012|S013|S014|S015,62,579.0,19,3,50123.09404450449,64.75551951029813,4,0.5517794374058151,2,0.5598002705682245,2,0.512453157492974,6,0.5907486629540669,3,0.7273904500327566,4,0.5221201561589168,2,0.6678935402081804,3,0.5145159718233803
P3,G1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S010|S012|S013|S014|S015,77,733.0,22,3,54426.4172768521,71.34113218604914,4,0.5883538668145089,2,0.5598002705682245,2,0.6791444269480744,6,0.6312259821497404,3,0.7273904500327566,4,0.6920438346220166,2,0.6678935402081804,3,0.5145159718233803
P3,G2,S011,3,25.0,1,0,1189.630285736439,1.077171254529726,0,0.0,1,0.5120937769095864,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
P4,G1,S001,15,154.0,3,0,4303.323232347616,6.585612675751017,1,0.4166451397598866,0,0.0,2,0.47472447541700247,1,0.6916585679957953,0,0.0,2,0.9678602770620893,0,0.0,0,0.0
P4,G2,S002|S003|S004|S005|S006|S007|S008|S009|S010|S012|S013|S014|S015,62,579.0,19,3,50123.09404450449,64.75551951029813,4,0.5517794374058151,2,0.5598002705682245,2,0.512453157492974,6,0.5907486629540669,3,0.7273904500327566,4,0.5221201561589168,2,0.6678935402081804,3,0.5145159718233803
P4,G3,S011,3,25.0,1,0,1189.630285736439,1.077171254529726,0,0.0,1,0.5120937769095864,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
