metric,repository,attachment,optimized
联合完工时间/s,7151.696926783366,6761.824258884326,6761.824258884327
总能耗/kWh,70.58596548849061,69.5548895573266,69.56654127519937
加权送达时间/优先级·s,2971140.3829050884,2927367.6869733846,2911369.1763067786
加权软延误,0,0,0
运输架次,24,24,24
中继架次,4,4,4
2组缺口/件,5,8,8
2组工作量CV,0.18951934577236842,0.023053856224010155,0.02305385622401009
2组设备总数/件,32,35,35
3组缺口/件,8,12,12
3组工作量CV,0.26302690003118917,0.297834330167411,0.297834330167411
3组设备总数/件,35,39,39
