sortie,phase,phase_index,start,end,mode,relay_sortie,margin_lower_db,proof,status
T001,climb,0,510.0,568.1426440429688,direct,,29.982830377148545,obstruction_upper_bound,PASS
T001,cruise,1,568.1426440429688,731.0,direct,,4.176243416504484,obstruction_upper_bound,PASS
T001,cruise,1,731.0,772.3697837050219,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T001,descent,2,772.3697837050219,816.8980887587328,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T001,handoff,3,816.8980887587328,1248.8980887587327,direct,,2.2209329737202967,obstruction_upper_bound,PASS
T001,climb,4,1248.8980887587327,1284.5207328017013,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T001,cruise,5,1284.5207328017013,1488.7478724637544,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T001,descent,6,1488.7478724637544,1561.4261775174655,direct,,29.982830377148545,obstruction_upper_bound,PASS
T002,climb,0,1740.0,1828.3506103515624,direct,,24.160616126613668,obstruction_upper_bound,PASS
T002,cruise,1,1828.3506103515624,2232.4089689015445,relay,R003,0.28939259213529667,independent_swept_cells,PASS
T002,descent,2,2232.4089689015445,2248.8297013234196,relay,R003,0.28939259213529667,independent_swept_cells,PASS
T002,handoff,3,2248.8297013234196,2458.8297013234196,relay,R003,0.28939259213529667,independent_swept_cells,PASS
T002,climb,4,2458.8297013234196,2485.775740141779,relay,R003,0.28939259213529667,independent_swept_cells,PASS
T002,cruise,5,2485.775740141779,3072.0,relay,R003,0.28939259213529667,independent_swept_cells,PASS
T002,cruise,5,3072.0,3144.0,relay,R001,3.688444121979799,obstruction_upper_bound,PASS
T002,cruise,5,3144.0,3155.932126243044,relay,R001,3.047011517928251,obstruction_upper_bound,PASS
T002,descent,6,3155.932126243044,3189.547372825075,relay,R001,2.916287346872787,obstruction_upper_bound,PASS
T002,handoff,7,3189.547372825075,3369.547372825075,relay,R001,2.916287346872787,obstruction_upper_bound,PASS
T002,climb,8,3369.547372825075,3420.6575311095803,relay,R001,2.916287346872787,obstruction_upper_bound,PASS
T002,cruise,9,3420.6575311095803,3798.476000743442,relay,R001,5.684936344501038,independent_swept_cells,PASS
T002,descent,10,3798.476000743442,3948.128190684848,direct,,20.962509130395112,obstruction_upper_bound,PASS
T003,climb,0,450.0,508.14264404296875,direct,,29.982830377148545,obstruction_upper_bound,PASS
T003,cruise,1,508.14264404296875,712.3697837050219,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T003,descent,2,712.3697837050219,731.0,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T003,descent,2,731.0,756.8980887587328,direct,,2.217952702313939,obstruction_upper_bound,PASS
T003,handoff,3,756.8980887587328,1116.8980887587327,direct,,2.2209329737202967,obstruction_upper_bound,PASS
T003,climb,4,1116.8980887587327,1152.5207328017013,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T003,cruise,5,1152.5207328017013,1356.7478724637544,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T003,descent,6,1356.7478724637544,1429.4261775174655,direct,,29.982830377148545,obstruction_upper_bound,PASS
T004,climb,0,1945.0,2000.1763041178385,direct,,28.686789494765073,obstruction_upper_bound,PASS
T004,cruise,1,2000.1763041178385,2381.6878033660223,relay,R003,0.28939259213529667,independent_swept_cells,PASS
T004,descent,2,2381.6878033660223,2406.9793683074286,relay,R003,0.28939259213529667,obstruction_upper_bound,PASS
T004,handoff,3,2406.9793683074286,2586.9793683074286,relay,R003,0.28939259213529667,obstruction_upper_bound,PASS
T004,climb,4,2586.9793683074286,2619.741585511205,relay,R003,0.28939259213529667,obstruction_upper_bound,PASS
T004,cruise,5,2619.741585511205,2735.1337664656944,relay,R003,0.28939259213529667,obstruction_upper_bound,PASS
T004,descent,6,2735.1337664656944,2778.6484271102254,relay,R003,0.28939259213529667,obstruction_upper_bound,PASS
T004,handoff,7,2778.6484271102254,2988.6484271102254,relay,R003,0.28939259213529667,obstruction_upper_bound,PASS
T004,climb,8,2988.6484271102254,3019.221119981319,relay,R003,0.28939259213529667,obstruction_upper_bound,PASS
T004,cruise,9,3019.221119981319,3072.0,relay,R003,0.28939259213529667,obstruction_upper_bound,PASS
T004,cruise,9,3072.0,3144.0,relay,R003,0.28939259213529667,obstruction_upper_bound,PASS
T004,cruise,9,3144.0,3514.9056698685927,relay,R001,0.05413522434176521,independent_swept_cells,PASS
T004,descent,10,3514.9056698685927,3588.312901313905,direct,,27.674459657897657,obstruction_upper_bound,PASS
T005,climb,0,390.0,438.45220336914065,direct,,29.982830377148545,obstruction_upper_bound,PASS
T005,cruise,1,438.45220336914065,693.736127946707,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T005,descent,2,693.736127946707,729.3587719896758,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T005,handoff,3,729.3587719896758,731.0,direct,,2.2209329737202967,obstruction_upper_bound,PASS
T005,handoff,3,731.0,969.3587719896758,direct,,2.2209329737202967,obstruction_upper_bound,PASS
T005,climb,4,969.3587719896758,999.0443086921498,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T005,cruise,5,999.0443086921498,1254.3282332697163,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T005,descent,6,1254.3282332697163,1312.470877312685,direct,,29.982830377148545,obstruction_upper_bound,PASS
T006,climb,0,8222.0,8277.887251790364,direct,,28.560414627443095,obstruction_upper_bound,PASS
