partition,group,zones,boxes,cargo_kg,transport_sorties,relay_sorties,work_seconds,energy_kwh,need_A_aircraft,occupancy_A_aircraft,need_B_aircraft,occupancy_B_aircraft,need_C_aircraft,occupancy_C_aircraft,need_A_batteries,occupancy_A_batteries,need_B_batteries,occupancy_B_batteries,need_C_batteries,occupancy_C_batteries,need_relay_aircraft,occupancy_relay_aircraft,need_relay_components,occupancy_relay_components
P1,G1,S001,15,154.0,3,0,4303.323232347616,6.585612675751017,1,0.290394935790988,0,0.0,1,0.6617505901380657,1,0.48207485525494986,0,0.0,2,0.6745829872732217,0,0.0,0,0.0
P1,G2,S002|S003|S004|S005|S006|S007|S008|S009|S010|S011|S012|S013|S014|S015,65,604.0,20,5,57210.23302410832,68.5750171861042,3,0.3945682078604547,2,0.4417054482299501,2,0.4342458854363194,5,0.37730547229755357,4,0.4316174138695776,3,0.590441470051793,2,0.6852522324739315,3,0.5287172887900832
P2,G1,S001|S011,18,179.0,4,0,5582.774103207753,8.491491723407387,1,0.22668048264115329,0,0.0,1,0.7375359049885809,1,0.3763046368584345,0,0.0,2,0.7536027534055957,0,0.0,0,0.0
P2,G2,S002|S003|S004|S005|S006|S007|S008|S009|S010|S012|S013|S014|S015,62,579.0,19,5,55930.78215324818,66.66913813844783,3,0.3945682078604547,2,0.4417054482299501,1,0.774650235040273,5,0.37730547229755357,4,0.4316174138695776,2,0.7892514600549569,2,0.6852522324739315,3,0.5287172887900832
P3,G1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S010|S012|S013|S014|S015,77,733.0,22,5,60234.105385595794,73.25475081419886,4,0.31999200431269287,2,0.4417054482299501,2,0.49700739795644694,5,0.40926619602238495,4,0.4316174138695776,4,0.5064349244435025,2,0.6852522324739315,3,0.5287172887900832
P3,G2,S011,3,25.0,1,0,1279.450870860137,1.9058790476563696,0,0.0,0,0.0,1,0.4866757113547819,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0
P4,G1,S001,15,154.0,3,0,4303.323232347616,6.585612675751017,1,0.290394935790988,0,0.0,1,0.6617505901380657,1,0.48207485525494986,0,0.0,2,0.6745829872732217,0,0.0,0,0.0
P4,G2,S002|S003|S004|S005|S006|S007|S008|S009|S010|S012|S013|S014|S015,62,579.0,19,5,55930.78215324818,66.66913813844783,3,0.3945682078604547,2,0.4417054482299501,1,0.774650235040273,5,0.37730547229755357,4,0.4316174138695776,2,0.7892514600549569,2,0.6852522324739315,3,0.5287172887900832
P4,G3,S011,3,25.0,1,0,1279.450870860137,1.9058790476563696,0,0.0,0,0.0,1,0.4866757113547819,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0
