sortie,phase_index,start,end,mode,relay_sortie,margin_lower_db,status
T001,0,510.0,568.1426440429688,direct,,28.982830377148545,PASS
T001,1,568.1426440429688,709.9998999999997,direct,,4.371734514325031,PASS
T001,1,709.9998999999997,710.0,direct,,4.371728412526112,PASS
T001,1,710.0,767.9999000000003,direct,,1.4018265236776806,PASS
T001,1,767.9999000000003,768.0,direct,,1.401822185216897,PASS
T001,1,768.0,772.3697837050219,direct,,1.2142767659980365,PASS
T001,2,772.3697837050219,816.8980887587328,direct,,1.2142767659980365,PASS
T001,3,816.8980887587328,1248.8980887587327,direct,,1.2209329737202967,PASS
T001,4,1248.8980887587327,1280.0,direct,,1.2155269980647567,PASS
T001,4,1280.0,1280.0000999999993,direct,,1.2155269717109434,PASS
T001,4,1280.0000999999993,1284.5207328017013,direct,,1.2142767659980365,PASS
T001,5,1284.5207328017013,1488.7478724637544,direct,,1.2142767659980365,PASS
T001,6,1488.7478724637544,1561.4261775174655,direct,,28.982830377148545,PASS
T002_2,0,390.0,478.3506103515625,direct,,23.16061612661366,PASS
T002_2,1,478.3506103515625,709.9998999999997,direct,,0.10525445194172178,PASS
T002_2,1,709.9998999999997,710.0,direct,,0.105250720911652,PASS
T002_2,1,710.0,767.9999000000003,relay,R004,2.710217075986666,PASS
T002_2,1,767.9999000000003,768.0,relay,R004,2.710217075986666,PASS
T002_2,1,768.0,801.597297191548,relay,R004,2.710217075986666,PASS
T002_2,2,801.597297191548,818.018029613423,relay,R004,2.710217075986666,PASS
T002_2,3,818.0180296134231,1058.018029613423,relay,R004,2.710217075986666,PASS
T002_2,4,1058.018029613423,1071.701973298319,relay,R004,2.710217075986666,PASS
T002_2,5,1071.701973298319,1280.0,relay,R004,2.710217075986666,PASS
T002_2,5,1280.0,1280.0000999999993,direct,,6.126502021077311,PASS
T002_2,5,1280.0000999999993,1394.9486601383046,direct,,6.126509427816991,PASS
T002_2,6,1394.9486601383046,1500.9693925601796,direct,,23.16061612661366,PASS
T003,0,1888.035182877992,1946.1778269209608,direct,,28.982830377148545,PASS
T003,1,1946.1778269209608,2150.404966583014,direct,,1.2142767659980365,PASS
T003,2,2150.404966583014,2194.933271636725,direct,,1.2142767659980365,PASS
T003,3,2194.933271636725,2554.9332716367244,direct,,1.2209329737202967,PASS
T003,4,2554.9332716367244,2590.5559156796935,direct,,1.2142767659980365,PASS
T003,5,2590.5559156796935,2739.035182877992,direct,,1.2142767659980365,PASS
T003,5,2739.035182877992,2739.1115402878895,direct,,12.402731652893344,PASS
T003,5,2739.1115402878895,2794.783055341746,direct,,12.41437479714536,PASS
T003,6,2794.783055341746,2867.4613603954576,direct,,28.982830377148545,PASS
T004,0,2394.1116402878897,2449.287944405728,direct,,27.686789494765115,PASS
T004,1,2449.287944405728,2739.1115402878895,direct,,0.11161686954461914,PASS
T004,1,2739.1115402878895,2739.1116402878897,direct,,0.11161387782662047,PASS
T004,1,2739.1116402878897,2926.177318465958,relay,R003,5.2974160390661105,PASS
T004,2,2926.177318465958,2951.468883407364,relay,R003,5.039636794763826,PASS
T004,3,2951.468883407364,3131.468883407364,relay,R003,5.0396367947638225,PASS
T004,4,3131.468883407364,3153.1116402878897,relay,R003,5.0396367947638225,PASS
T004,4,3153.1116402878897,3153.969592560179,relay,R003,5.179207305567839,PASS
T004,4,3153.969592560179,3164.2311006111404,relay,R003,5.1840364311683444,PASS
T004,5,3164.2311006111404,3308.4713268042524,relay,R003,4.470058273677994,PASS
T004,6,3308.4713268042524,3351.985987448784,relay,R003,4.282255880880729,PASS
T004,7,3351.985987448784,3561.985987448784,relay,R003,4.282255880880729,PASS
T004,8,3561.985987448784,3592.5586803198776,relay,R003,4.282255880880731,PASS
T004,9,3592.5586803198776,3902.3615239994233,relay,R003,6.076162459558585,PASS
T004,9,3902.3615239994233,4057.262945839196,relay,R003,1.6482283617869289,PASS
T004,9,4057.262945839196,4212.164367678969,direct,,5.527276229330184,PASS
T004,10,4212.164367678969,4285.571599124281,direct,,26.67445965789763,PASS
T005,0,390.0,438.45220336914065,direct,,28.982830377148545,PASS
T005,1,438.45220336914065,693.736127946707,direct,,1.2142767659980365,PASS
T005,2,693.736127946707,709.9998999999997,direct,,1.2142767659980365,PASS
T005,2,709.9998999999997,710.0,direct,,1.2182242796586529,PASS
T005,2,710.0,729.3587719896758,direct,,1.2182242992411254,PASS
T005,3,729.3587719896758,767.9999000000003,direct,,1.2209329737202967,PASS
T005,3,767.9999000000003,768.0,direct,,1.2209329737202967,PASS
T005,3,768.0,969.3587719896758,direct,,1.2209329737202967,PASS
