partition,group,zones,boxes,cargo_kg,transport_sorties,relay_sorties,work_seconds,energy_kwh,need_A_aircraft,occupancy_A_aircraft,need_B_aircraft,occupancy_B_aircraft,need_C_aircraft,occupancy_C_aircraft,need_A_batteries,occupancy_A_batteries,need_B_batteries,occupancy_B_batteries,need_C_batteries,occupancy_C_batteries,need_relay_aircraft,occupancy_relay_aircraft,need_relay_components,occupancy_relay_components
P1,G1,S001,15,154.0,3,0,4303.323232347616,6.585612675751017,1,0.4166451397598866,0,0.0,2,0.47472447541700247,1,0.6916585679957953,0,0.0,2,0.9678602770620893,0,0.0,0,0.0
P1,G2,S002|S003|S004|S005|S006|S007|S008|S009|S010|S011|S012|S013|S014|S015,65,604.0,20,3,52306.43060301968,66.13357979863298,4,0.5647712254325642,2,0.6408445185193878,2,0.524518998197528,6,0.6046579913666443,4,0.6246487010506052,4,0.5344136088203666,2,0.7403061975102511,3,0.5690703908604791
P2,G1,S001|S011,18,179.0,4,0,5492.953518084055,7.662783930280744,1,0.24605424961156797,1,0.22302482465090018,2,0.28035362332149716,1,0.4084663750876713,1,0.435515592469847,2,0.5715802525348087,0,0.0,0,0.0
P2,G2,S002|S003|S004|S005|S006|S007|S008|S009|S010|S012|S013|S014|S015,62,579.0,19,3,51116.80031728325,65.05640854410325,4,0.5647712254325642,2,0.5729809111639165,2,0.524518998197528,6,0.6046579913666443,4,0.5583877832114756,4,0.5344136088203666,2,0.7403061975102511,3,0.5690703908604791
P3,G1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S010|S012|S013|S014|S015,77,733.0,22,3,55420.12354963086,71.64202121985427,4,0.6022068091392707,2,0.5729809111639165,2,0.6951350562399887,6,0.6460883593989212,4,0.5583877832114756,4,0.7083381837679333,2,0.7403061975102511,3,0.5690703908604791
P3,G2,S011,3,25.0,1,0,1189.630285736439,1.077171254529726,0,0.0,1,0.5120937769095865,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
P4,G1,S001,15,154.0,3,0,4303.323232347616,6.585612675751017,1,0.4166451397598866,0,0.0,2,0.47472447541700247,1,0.6916585679957953,0,0.0,2,0.9678602770620893,0,0.0,0,0.0
P4,G2,S002|S003|S004|S005|S006|S007|S008|S009|S010|S012|S013|S014|S015,62,579.0,19,3,51116.80031728325,65.05640854410325,4,0.5647712254325642,2,0.5729809111639165,2,0.524518998197528,6,0.6046579913666443,4,0.5583877832114756,4,0.5344136088203666,2,0.7403061975102511,3,0.5690703908604791
P4,G3,S011,3,25.0,1,0,1189.630285736439,1.077171254529726,0,0.0,1,0.5120937769095865,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
