partition,group,zones,boxes,cargo_kg,transport_sorties,relay_sorties,work_seconds,energy_kwh,need_A_aircraft,occupancy_A_aircraft,need_B_aircraft,occupancy_B_aircraft,need_C_aircraft,occupancy_C_aircraft,need_A_batteries,occupancy_A_batteries,need_B_batteries,occupancy_B_batteries,need_C_batteries,occupancy_C_batteries,need_relay_aircraft,occupancy_relay_aircraft,need_relay_components,occupancy_relay_components
P14_235,G1,S001|S006,21,213.0,5,0,7052.372529642596,10.210734164938351,1,0.32259519346445764,0,0.0,1,0.5429457554805397,2,0.2691882680021656,0,0.0,2,0.5509682092425875,0,0.0,0,0.0
P14_235,G2,S002|S003|S004|S005|S007|S008|S009|S010|S011|S012|S013|S014|S015,59,545.0,22,4,57225.344271756956,68.16266850271958,4,0.36614040842709467,2,0.6322200252001584,2,0.43017818342122593,4,0.5961089816274746,4,0.611686840099636,3,0.592606804490338,2,0.7458993964840926,3,0.5733934421675592
P14_23_5,G1,S001|S006,21,213.0,5,0,7052.372529642596,10.210734164938351,1,0.32259519346445764,0,0.0,1,0.5429457554805397,2,0.2691882680021656,0,0.0,2,0.5509682092425875,0,0.0,0,0.0
P14_23_5,G2,S002|S003|S004|S005|S007|S008|S009|S010|S012|S013|S014|S015,56,520.0,21,4,55945.89340089682,66.25678945506321,4,0.36614040842709467,2,0.6322200252001584,1,0.7490846126069841,4,0.5961089816274746,4,0.611686840099636,3,0.5163946905923481,2,0.7458993964840926,3,0.5733934421675592
P14_23_5,G3,S011,3,25.0,1,0,1279.450870860137,1.9058790476563696,0,0.0,0,0.0,1,0.4866757113547819,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0
P14_25_3,G1,S001|S006,21,213.0,5,0,7052.372529642596,10.210734164938351,1,0.32259519346445764,0,0.0,1,0.5429457554805397,2,0.2691882680021656,0,0.0,2,0.5509682092425875,0,0.0,0,0.0
P14_25_3,G2,S002|S004|S008|S009|S010|S011|S012|S013|S014,37,335.0,13,2,33411.67133495756,40.74660947285998,1,0.43004246196416984,2,0.7921597703028884,1,0.6139045476541286,2,0.34731217438859835,4,0.7664320765499629,2,0.6507982003643278,2,0.5389879655532389,2,0.6198352357582508
P14_25_3,G3,S003|S005|S007|S015,22,210.0,9,2,23813.672936799398,27.41605902985961,3,0.37378206792512914,0,0.0,1,0.3704012300901988,4,0.45751464758276283,0,0.0,1,0.7390207418410526,1,0.6314698594896296,1,0.7308035288872365
P14_2_35,G1,S001|S006,21,213.0,5,0,7052.372529642596,10.210734164938351,1,0.32259519346445764,0,0.0,1,0.5429457554805397,2,0.2691882680021656,0,0.0,2,0.5509682092425875,0,0.0,0,0.0
P14_2_35,G2,S002|S004|S008|S009|S010|S012|S013|S014,34,310.0,12,2,32132.220464097423,38.84073042520361,1,0.43004246196416984,2,0.7921597703028884,1,0.4744831377605378,2,0.34731217438859835,4,0.7664320765499629,2,0.5075596879003741,2,0.5389879655532389,2,0.6198352357582508
