source,attempts,feasible,feasible_rate,best_weighted_delivery,median_weighted_delivery,median_elapsed_seconds
baseline_routes,2,2,1.0,2659718.5076264874,2740489.5076264874,70.49748179999006
balanced_24,2,2,1.0,2808950.5076264874,2813344.5076264874,68.77389169999515
delivery_23,2,1,0.5,2634274.0032893578,2634274.0032893578,42.182061900006374
fastest_25,2,2,1.0,2710734.193092335,2778584.193092335,68.44730415000231
