partition,group,zones,boxes,cargo_kg,transport_sorties,relay_sorties,work_seconds,energy_kwh,need_A_aircraft,occupancy_A_aircraft,need_B_aircraft,occupancy_B_aircraft,need_C_aircraft,occupancy_C_aircraft,need_A_batteries,occupancy_A_batteries,need_B_batteries,occupancy_B_batteries,need_C_batteries,occupancy_C_batteries,need_relay_aircraft,occupancy_relay_aircraft,need_relay_components,occupancy_relay_components
P12356_4,G2,S006,6,59.0,2,0,2749.0492972949805,3.625121489187333,1,0.30496933551872735,0,0.0,1,0.33208741380801604,1,0.5116451930723617,0,0.0,1,0.6675901947617626,0,0.0,0,0.0
P1235_46,G1,S001|S002|S003|S004|S005|S007|S008|S009|S010|S012|S013|S014|S015,71,674.0,21,4,52158.35534818087,65.88367274477356,4,0.39150923529696546,2,0.6383438064746683,2,0.6101568092922086,5,0.5074357700444011,4,0.6236152833745249,4,0.6320105499678697,2,0.7559747816759824,3,0.5838441236252336
P1235_46,G2,S006|S011,9,84.0,3,0,3938.6795830314195,4.702292743717059,1,0.21446720448057396,1,0.19387076442814052,1,0.23353777244996232,1,0.3598103201343488,1,0.37858449598455035,1,0.46947737406341655,0,0.0,0,0.0
P1235_4_6,G1,S001|S002|S003|S004|S005|S007|S008|S009|S010|S012|S013|S014|S015,71,674.0,21,4,52158.35534818087,65.88367274477356,4,0.39150923529696546,2,0.6383438064746683,2,0.6101568092922086,5,0.5074357700444011,4,0.6236152833745249,4,0.6320105499678697,2,0.7559747816759824,3,0.5838441236252336
P1235_4_6,G2,S006,6,59.0,2,0,2749.0492972949805,3.625121489187333,1,0.30496933551872735,0,0.0,1,0.33208741380801604,1,0.5116451930723617,0,0.0,1,0.6675901947617626,0,0.0,0,0.0
P1235_4_6,G3,S011,3,25.0,1,0,1189.6302857364385,1.077171254529726,0,0.0,1,0.5120937769095864,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
P1236_45,G1,S001|S002|S003|S004|S005|S007|S008|S009|S011|S015,62,599.0,18,3,42762.79744314509,57.37997993089222,4,0.39150923529696546,2,0.3429484378958731,2,0.6101568092922086,5,0.5074357700444011,4,0.3392866981429194,4,0.6320105499678697,2,0.5448645049602914,2,0.6319656948962591
P1236_45,G2,S006|S010|S012|S013|S014,18,159.0,6,1,13334.237488067196,13.205985557598398,1,0.2445111672743579,2,0.6358061564416765,1,0.2662532646084167,1,0.41021489316507076,4,0.6135165234362475,1,0.5352448222522713,1,0.7508203032460035,1,0.8670840713570847
P1236_4_5,G1,S001|S002|S003|S004|S005|S007|S008|S009|S011|S015,62,599.0,18,3,42762.79744314509,57.37997993089222,4,0.39150923529696546,2,0.3429484378958731,2,0.6101568092922086,5,0.5074357700444011,4,0.3392866981429194,4,0.6320105499678697,2,0.5448645049602914,2,0.6319656948962591
P1236_4_5,G2,S006,6,59.0,2,0,2749.0492972949805,3.625121489187333,1,0.30496933551872735,0,0.0,1,0.33208741380801604,1,0.5116451930723617,0,0.0,1,0.6675901947617626,0,0.0,0,0.0
P1236_4_5,G3,S010|S012|S013|S014,12,100.0,4,1,10585.188190772213,9.580864068411065,0,0.0,2,0.6358061564416765,0,0.0,0,0.0,4,0.6135165234362475,0,0.0,1,0.7508203032460035,1,0.8670840713570847
P123_456,G1,S001|S002|S003|S004|S005|S007|S008|S009|S015,59,574.0,17,3,41573.16715740866,56.302808676362496,4,0.39150923529696546,2,0.28080096155252227,2,0.6101568092922086,5,0.5074357700444011,3,0.3714758896870427,4,0.6320105499678697,2,0.5448645049602914,2,0.6319656948962591
P123_456,G2,S006|S010|S011|S012|S013|S014,21,184.0,7,1,14523.867773803635,14.283156812128125,1,0.21446720448057396,2,0.6546177591935244,1,0.23353777244996232,1,0.3598103201343488,4,0.6327776750036705,1,0.46947737406341655,1,0.6585643236643866,1,0.7605423462108283
P123_45_6,G1,S001|S002|S003|S004|S005|S007|S008|S009|S015,59,574.0,17,3,41573.16715740866,56.302808676362496,4,0.39150923529696546,2,0.28080096155252227,2,0.6101568092922086,5,0.5074357700444011,3,0.3714758896870427,4,0.6320105499678697,2,0.5448645049602914,2,0.6319656948962591
P123_45_6,G2,S006|S010|S012|S013|S014,18,159.0,6,1,13334.237488067196,13.205985557598398,1,0.2445111672743579,2,0.6358061564416765,1,0.2662532646084167,1,0.41021489316507076,4,0.6135165234362475,1,0.5352448222522713,1,0.7508203032460035,1,0.8670840713570847
P123_45_6,G3,S011,3,25.0,1,0,1189.6302857364385,1.077171254529726,0,0.0,1,0.5120937769095864,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
P123_46_5,G1,S001|S002|S003|S004|S005|S007|S008|S009|S015,59,574.0,17,3,41573.16715740866,56.302808676362496,4,0.39150923529696546,2,0.28080096155252227,2,0.6101568092922086,5,0.5074357700444011,3,0.3714758896870427,4,0.6320105499678697,2,0.5448645049602914,2,0.6319656948962591
P123_46_5,G2,S006|S011,9,84.0,3,0,3938.6795830314195,4.702292743717059,1,0.21446720448057396,1,0.19387076442814052,1,0.23353777244996232,1,0.3598103201343488,1,0.37858449598455035,1,0.46947737406341655,0,0.0,0,0.0
P123_46_5,G3,S010|S012|S013|S014,12,100.0,4,1,10585.188190772213,9.580864068411065,0,0.0,2,0.6358061564416765,0,0.0,0,0.0,4,0.6135165234362475,0,0.0,1,0.7508203032460035,1,0.8670840713570847
P123_4_56,G1,S001|S002|S003|S004|S005|S007|S008|S009|S015,59,574.0,17,3,41573.16715740866,56.302808676362496,4,0.39150923529696546,2,0.28080096155252227,2,0.6101568092922086,5,0.5074357700444011,3,0.3714758896870427,4,0.6320105499678697,2,0.5448645049602914,2,0.6319656948962591
P123_4_56,G2,S006,6,59.0,2,0,2749.0492972949805,3.625121489187333,1,0.30496933551872735,0,0.0,1,0.33208741380801604,1,0.5116451930723617,0,0.0,1,0.6675901947617626,0,0.0,0,0.0
P123_4_56,G3,S010|S011|S012|S013|S014,15,125.0,5,1,11774.818476508652,10.658035322940792,0,0.0,2,0.6546177591935244,0,0.0,0,0.0,4,0.6327776750036705,0,0.0,1,0.6585643236643866,1,0.7605423462108283
P12456_3,G1,S001|S002|S004|S006|S008|S009|S010|S011|S012|S013|S014,58,548.0,16,2,36113.303442867655,47.17083505617369,2,0.27917065671344254,2,0.6760336341976082,2,0.5927500837135825,3,0.3046106748625922,4,0.6599508509272982,4,0.6204928771381434,2,0.5394981175541989,2,0.6210160070618891
P12456_3,G2,S003|S005|S007|S015,22,210.0,8,2,19983.731488344638,23.41513043231693,4,0.29763396400587394,1,0.1587107030498461,1,0.2808090519781115,4,0.4820594143328195,1,0.3117436179873596,1,0.548613238665586,1,0.5205738425991493,1,0.6103602859922618
P1245_36,G1,S001|S002|S004|S006|S008|S009|S010|S012|S013|S014,55,523.0,15,2,34923.67315713121,46.09366380164397,2,0.27917065671344254,2,0.6083933928721064,2,0.5927500837135825,3,0.3046106748625922,4,0.593908024031704,4,0.6204928771381434,2,0.5394981175541989,2,0.6210160070618891
P1245_36,G2,S003|S005|S007|S011|S015,25,235.0,9,2,21173.361774081077,24.492301686846652,4,0.29763396400587394,1,0.28300565573654773,1,0.2808090519781115,4,0.4820594143328195,2,0.27723137074895454,1,0.548613238665586,1,0.5205738425991493,1,0.6103602859922618
