partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P12356_4,G1,relay_aircraft,G1-relay_aircraft-02,R001,190.13731902940916,1999.2976388563327,R003,5.000100000000202,R02,existing
P12356_4,G1,relay_aircraft,G1-relay_aircraft-02,R003,2004.297738856333,7451.696926783366,,,R02,existing
P12356_4,G1,relay_components,G1-relay_components-01,R004,96.18236555369009,4763.024275968738,,,RE01,existing
P12356_4,G1,relay_components,G1-relay_components-02,R001,190.13731902940916,2344.3073253046314,R002,1797.959245272138,RE02,existing
P12356_4,G1,relay_components,G1-relay_components-02,R002,4142.2665705767695,7829.8710348817585,,,RE02,existing
P12356_4,G1,relay_components,G1-relay_components-03,R003,2004.297738856333,8259.644091678625,,,RE03,existing
P12356_4,G2,A_aircraft,G2-A_aircraft-01,T009,0.0,1316.0142144169886,,,NEW-A_aircraft-01,procurement_required
P12356_4,G2,C_aircraft,G2-C_aircraft-01,T010_2,1434.4262775174655,2867.4613603954576,,,NEW-C_aircraft-01,procurement_required
P12356_4,G2,A_batteries,G2-A_batteries-01,T009,0.0,2207.8690163260853,,,A06,existing
P12356_4,G2,C_batteries,G2-C_batteries-01,T010_2,1434.4262775174655,4315.234553593916,,,NEW-C_batteries-01,procurement_required
P1235_46,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,T020,2609.6583742346756,U01,existing
P1235_46,G1,A_aircraft,G1-A_aircraft-01,T020,3922.1292515473606,5892.3390985241795,,,U01,existing
P1235_46,G1,A_aircraft,G1-A_aircraft-02,T007_HARD,0.0,1712.4416357195464,T007,2189.687615827814,U02,existing
P1235_46,G1,A_aircraft,G1-A_aircraft-02,T007,3902.1292515473606,6510.170148656282,,,U02,existing
P1235_46,G1,A_aircraft,G1-A_aircraft-03,T007_SOFT,0.0,1712.4416357195464,T004,291.67000451570993,U03,existing
P1235_46,G1,A_aircraft,G1-A_aircraft-03,T004,2004.1116402352563,4285.571599071648,T016,5.000100000000202,U03,existing
