sortie,phase,phase_index,start,end,mode,margin_lower_db,proof
T001,climb,0,480.0,538.1426440429696,direct,29.982830377148545,obstruction_bound
T001,cruise,1,538.1426440429696,742.3697837050222,direct,2.214414711067704,obstruction_bound
T001,descent,2,742.3697837050222,786.8980887587331,direct,2.214414711067704,obstruction_bound
T001,handoff,3,786.8980887587331,1182.8980887587331,direct,2.2210711303767283,obstruction_bound
T001,climb,4,1182.8980887587331,1218.5207328017004,direct,2.214414711067704,obstruction_bound
T001,cruise,5,1218.5207328017004,1422.747872463755,direct,2.214414711067704,obstruction_bound
T001,descent,6,1422.747872463755,1495.4261775174655,direct,29.982830377148545,obstruction_bound
T002,climb,0,390.0,470.2384989420573,direct,25.06911862942026,obstruction_bound
T002,cruise,1,470.2384989420573,682.3070932374986,direct,1.8735648914287992,obstruction_bound
T002,descent,2,682.3070932374986,703.7532919679674,direct,1.8735648914287992,obstruction_bound
T002,handoff,3,703.7532919679674,943.7532919679674,direct,1.882455330785504,obstruction_bound
T002,climb,4,943.7532919679674,961.625124243358,direct,1.8735648914287992,obstruction_bound
T002,cruise,5,961.625124243358,1173.6937185387992,direct,1.8735648914287992,obstruction_bound
T002,descent,6,1173.6937185387992,1269.9799172692678,direct,25.06911862942026,obstruction_bound
T003,climb,0,360.0,448.3506103515625,direct,24.16061612661366,obstruction_bound
T003,cruise,1,448.3506103515625,650.3797896265535,direct,4.20945790655729,obstruction_bound
T003,cruise,1,650.3797896265535,751.394379264049,direct,0.7122343239242781,obstruction_bound
T003,cruise,1,751.394379264049,852.4089689015445,relay,0.7190288162332621,clear_swept_triangle
T003,descent,2,852.4089689015445,868.8297013234195,relay,0.7190288162332621,clear_swept_triangle
T003,handoff,3,868.8297013234195,973.8297013234196,relay,0.7190288162332621,clear_swept_triangle
T003,handoff,3,973.8297013234196,1078.8297013234196,relay,0.7190288162332621,clear_swept_triangle
T003,climb,4,1078.8297013234196,1092.5136450083155,relay,0.7190288162332621,clear_swept_triangle
T003,cruise,5,1092.5136450083155,1193.528234645811,relay,0.7190288162332621,clear_swept_triangle
T003,cruise,5,1193.528234645811,1294.5428242833063,direct,0.7122343239213222,obstruction_bound
T003,cruise,5,1294.5428242833063,1496.5720035582974,direct,4.209457906556565,obstruction_bound
T003,descent,6,1496.5720035582974,1602.5927359801724,direct,24.16061612661366,obstruction_bound
T004,climb,0,480.0,538.1426440429696,direct,29.982830377148545,obstruction_bound
T004,cruise,1,538.1426440429696,742.3697837050222,direct,2.214414711067704,obstruction_bound
T004,descent,2,742.3697837050222,786.8980887587331,direct,2.214414711067704,obstruction_bound
T004,handoff,3,786.8980887587331,1182.8980887587331,direct,2.2210711303767283,obstruction_bound
T004,climb,4,1182.8980887587331,1218.5207328017004,direct,2.214414711067704,obstruction_bound
T004,cruise,5,1218.5207328017004,1422.747872463755,direct,2.214414711067704,obstruction_bound
T004,descent,6,1422.747872463755,1495.4261775174655,direct,29.982830377148545,obstruction_bound
T005,climb,0,1992.5927359801724,2047.769040098011,direct,28.686789494765065,obstruction_bound
T005,cruise,1,2047.769040098011,2286.213727128126,direct,2.8030470255403372,obstruction_bound
T005,cruise,1,2286.213727128126,2405.4360706431835,relay,0.30262641365843024,clear_swept_triangle
T005,cruise,1,2405.4360706431835,2524.6584141582407,relay,4.147504928681414,clear_swept_triangle
T005,descent,2,2524.6584141582407,2549.949979099647,relay,4.1374807070481125,clear_swept_triangle
T005,handoff,3,2549.949979099647,2639.949979099647,relay,4.1374807070481125,clear_swept_triangle
T005,handoff,3,2639.949979099647,2729.949979099647,relay,4.1374807070481125,clear_swept_triangle
T005,climb,4,2729.949979099647,2762.7121963034233,relay,4.1374807070481125,clear_swept_triangle
T005,cruise,5,2762.7121963034233,2834.832309399979,relay,2.709061938215271,clear_swept_triangle
T005,cruise,5,2834.832309399979,2906.9524224965353,relay,1.3935428790700968,clear_swept_triangle
T005,descent,6,2906.9524224965353,2950.4670831410663,relay,1.3848001158849712,clear_swept_triangle
T005,handoff,7,2950.4670831410663,3055.4670831410663,relay,1.3848001158849712,clear_swept_triangle
T005,handoff,7,3055.4670831410663,3160.4670831410663,relay,1.3848001158849712,clear_swept_triangle
