scheme,sortie,model,resource_type,resource_id,activity,start_s,end_s
zero_delay_efficient,T001,C,battery,C01,flight,0.0,1495.4261775174655
zero_delay_efficient,T001,C,battery,C01,charging,1495.4261775174655,3038.637095537719
zero_delay_efficient,T002,C,aircraft,U08,flight,0.0,2115.081641278453
zero_delay_efficient,T002,C,battery,C02,flight,0.0,2115.081641278453
zero_delay_efficient,T002,C,battery,C02,charging,2115.081641278453,4607.747358730121
zero_delay_efficient,T003,B,aircraft,U05,flight,0.0,1209.979917269268
zero_delay_efficient,T003,B,battery,B01,flight,0.0,1209.979917269268
zero_delay_efficient,T003,B,battery,B01,charging,1209.979917269268,2352.630298205151
zero_delay_efficient,T004,C,aircraft,U07,flight,1495.4261775174655,3900.0240604277465
zero_delay_efficient,T004,C,battery,C03,flight,1495.4261775174655,3900.0240604277465
zero_delay_efficient,T004,C,battery,C03,charging,3900.0240604277465,5894.098366966284
zero_delay_efficient,T005,B,aircraft,U06,flight,0.0,1440.9693925601796
zero_delay_efficient,T005,B,battery,B02,flight,0.0,1440.9693925601796
zero_delay_efficient,T005,B,battery,B02,charging,1440.9693925601796,2815.1225058287064
zero_delay_efficient,T006,C,aircraft,U08,flight,2115.081641278453,3610.5078187959184
zero_delay_efficient,T006,C,battery,C04,flight,2115.081641278453,3610.5078187959184
zero_delay_efficient,T006,C,battery,C04,charging,3610.5078187959184,5167.698194465849
zero_delay_efficient,T007,B,aircraft,U05,flight,1209.979917269268,3317.260890291095
zero_delay_efficient,T007,B,battery,B03,flight,1209.979917269268,3317.260890291095
zero_delay_efficient,T007,B,battery,B03,charging,3317.260890291095,4965.759383785937
zero_delay_efficient,T008,A,aircraft,U01,flight,0.0,2281.4599588363917
zero_delay_efficient,T008,A,battery,A01,flight,0.0,2281.4599588363917
zero_delay_efficient,T008,A,battery,A01,charging,2281.4599588363917,3649.403580614774
zero_delay_efficient,T009,A,aircraft,U02,flight,0.0,1712.4416357195464
zero_delay_efficient,T009,A,battery,A02,flight,0.0,1712.4416357195464
zero_delay_efficient,T009,A,battery,A02,charging,1712.4416357195464,2761.062337358848
zero_delay_efficient,T010,B,aircraft,U06,flight,1440.9693925601796,3548.2503655820065
zero_delay_efficient,T010,B,battery,B04,flight,1440.9693925601796,3548.2503655820065
zero_delay_efficient,T010,B,battery,B04,charging,3548.2503655820065,5221.432923006688
zero_delay_efficient,T011,A,aircraft,U03,flight,0.0,2130.6390887595826
zero_delay_efficient,T011,A,battery,A03,flight,0.0,2130.6390887595826
zero_delay_efficient,T011,A,battery,A03,charging,2130.6390887595826,3488.424083728015
zero_delay_efficient,T012,A,aircraft,U04,flight,0.0,1312.470877312685
zero_delay_efficient,T012,A,battery,A04,flight,0.0,1312.470877312685
zero_delay_efficient,T012,A,battery,A04,charging,1312.470877312685,2178.7887122874713
zero_delay_efficient,T013,C,aircraft,U08,flight,3610.5078187959184,5783.6918837637595
zero_delay_efficient,T013,C,battery,C01,flight,3610.5078187959184,5783.6918837637595
zero_delay_efficient,T013,C,battery,C01,charging,5783.6918837637595,8117.442936285039
zero_delay_efficient,T014,C,aircraft,U07,flight,4607.747358730121,7043.55687958777
zero_delay_efficient,T014,C,battery,C02,flight,4607.747358730121,7043.55687958777
zero_delay_efficient,T014,C,battery,C02,charging,7043.55687958777,9541.911159562284
zero_delay_efficient,T015,B,aircraft,U05,flight,3317.260890291095,5215.3021617780905
zero_delay_efficient,T015,B,battery,B01,flight,3317.260890291095,5215.3021617780905
zero_delay_efficient,T015,B,battery,B01,charging,5215.3021617780905,7082.4843136957
zero_delay_efficient,T016,B,aircraft,U06,flight,3548.2503655820065,5506.291637069002
zero_delay_efficient,T016,B,battery,B02,flight,3548.2503655820065,5506.291637069002
zero_delay_efficient,T016,B,battery,B02,charging,5506.291637069002,7465.537264554592
zero_delay_efficient,T017,B,aircraft,U05,flight,5215.3021617780905,7498.434268462624
zero_delay_efficient,T017,B,battery,B03,flight,5215.3021617780905,7498.434268462624
zero_delay_efficient,T017,B,battery,B03,charging,7498.434268462624,9503.364402518835
zero_delay_efficient,T018,A,aircraft,U04,flight,1312.470877312685,3496.43027828567
zero_delay_efficient,T018,A,battery,A05,flight,1312.470877312685,3496.43027828567
zero_delay_efficient,T018,A,battery,A05,charging,3496.43027828567,4891.5950100041855
zero_delay_efficient,T019,A,aircraft,U02,flight,1712.4416357195464,4056.288710431518
zero_delay_efficient,T019,A,battery,A06,flight,1712.4416357195464,4056.288710431518
zero_delay_efficient,T019,A,battery,A06,charging,4056.288710431518,5419.852693681093
zero_delay_efficient,T020,A,aircraft,U03,flight,2178.7887122874713,4726.829609396393
zero_delay_efficient,T020,A,battery,A04,flight,2178.7887122874713,4726.829609396393
zero_delay_efficient,T020,A,battery,A04,charging,4726.829609396393,6119.482359804604
zero_delay_efficient,T021,A,aircraft,U01,flight,2761.062337358848,3984.597550893329
zero_delay_efficient,T021,A,battery,A02,flight,2761.062337358848,3984.597550893329
zero_delay_efficient,T021,A,battery,A02,charging,3984.597550893329,4818.405857771519
zero_delay_efficient,T022,A,aircraft,U04,flight,3496.43027828567,5192.188382954135
zero_delay_efficient,T022,A,battery,A03,flight,3496.43027828567,5192.188382954135
zero_delay_efficient,T022,A,battery,A03,charging,5192.188382954135,6307.382707433833
zero_delay_efficient,T023,C,aircraft,U08,flight,5783.6918837637595,7531.736524399572
zero_delay_efficient,T023,C,battery,C04,flight,5783.6918837637595,7531.736524399572
zero_delay_efficient,T023,C,battery,C04,charging,7531.736524399572,9394.759820938134
zero_delay_efficient,T024,A,aircraft,U01,flight,3984.597550893329,5616.132037132278
zero_delay_efficient,T024,A,battery,A01,flight,3984.597550893329,5616.132037132278
zero_delay_efficient,T024,A,battery,A01,charging,5616.132037132278,6758.554474311512
zero_delay_efficient,T025,A,aircraft,U02,flight,4818.405857771519,6728.6157047483375
zero_delay_efficient,T025,A,battery,A02,flight,4818.405857771519,6728.6157047483375
zero_delay_efficient,T025,A,battery,A02,charging,6728.6157047483375,7911.680623055388
zero_delay_efficient,T026,A,aircraft,U03,flight,4891.5950100041855,6055.1302235386665
zero_delay_efficient,T026,A,battery,A05,flight,4891.5950100041855,6055.1302235386665
zero_delay_efficient,T026,A,battery,A05,charging,6055.1302235386665,6874.287463754267
zero_delay_efficient,T027,B,aircraft,U06,flight,5506.291637069002,6947.070373683859
zero_delay_efficient,T027,B,battery,B04,flight,5506.291637069002,6947.070373683859
zero_delay_efficient,T027,B,battery,B04,charging,6947.070373683859,8371.035107269061
delivery_priority,T001,C,aircraft,U07,flight,0.0,2404.597882910281
delivery_priority,T001,C,battery,C01,flight,0.0,2404.597882910281
delivery_priority,T001,C,battery,C01,charging,2404.597882910281,4398.672189448818
delivery_priority,T002,C,aircraft,U08,flight,0.0,1561.4261775174655
delivery_priority,T002,C,battery,C02,flight,0.0,1561.4261775174655
delivery_priority,T002,C,battery,C02,charging,1561.4261775174655,3231.8737791612284
delivery_priority,T003,B,aircraft,U05,flight,0.0,1944.0244440219892
delivery_priority,T003,B,battery,B01,flight,0.0,1944.0244440219892
delivery_priority,T003,B,battery,B01,charging,1944.0244440219892,3808.1313217671122
delivery_priority,T004,B,aircraft,U06,flight,0.0,1859.7496914170222
delivery_priority,T004,B,battery,B02,flight,0.0,1859.7496914170222
delivery_priority,T004,B,battery,B02,charging,1859.7496914170222,3378.206629247983
delivery_priority,T005,A,aircraft,U01,flight,0.0,1312.470877312685
delivery_priority,T005,A,battery,A01,flight,0.0,1312.470877312685
delivery_priority,T005,A,battery,A01,charging,1312.470877312685,2178.7887122874713
delivery_priority,T006,A,aircraft,U02,flight,0.0,1964.902544172324
delivery_priority,T006,A,battery,A02,flight,0.0,1964.902544172324
delivery_priority,T006,A,battery,A02,charging,1964.902544172324,3122.963578532427
delivery_priority,T007,A,aircraft,U03,flight,0.0,1653.8524691732741
delivery_priority,T007,A,battery,A03,flight,0.0,1653.8524691732741
delivery_priority,T007,A,battery,A03,charging,1653.8524691732741,2717.9194882703496
delivery_priority,T008,A,aircraft,U04,flight,0.0,1316.0142144169886
