scheme,weighted_delivery_seconds,weighted_soft_delay_seconds,makespan,energy_kwh,sortie_count
soft_delay_priority,2735557.495136332,0,7558.434268462624,77.05945901639045,28
zero_delay_efficient,2800522.364271396,0,7531.736524399572,76.40149894370987,27
delivery_priority,2771259.247630048,10639.753327782271,7629.679979486289,73.21000740865773,25
energy_guarded,3203874.303104223,72248.9426108216,9345.19140301846,67.92894870098546,23
energy_guarded_timely,3094451.202108364,30223.122068844394,9377.376819745536,67.76800483032989,23
alns_zero_delay_efficient,2809611.6208803034,0,7531.736524399572,74.33663568052843,25
