case,resource_type,release_extension_seconds,minimum_slack_seconds,status
three_stock,relay,1,5.744627852450321,PASS
three_stock,component,1,,NO_REUSE
three_stock,aircraft,5,5.020082730731701,PASS
three_stock,battery,5,5.138153612109818,PASS
three_stock,relay,5,5.744627852450321,PASS
three_stock,component,5,,NO_REUSE
three_stock,aircraft,10,5.020082730731701,FAIL
three_stock,battery,10,5.138153612109818,FAIL
three_stock,relay,10,5.744627852450321,FAIL
three_stock,component,10,,NO_REUSE
three_stock,aircraft,30,5.020082730731701,FAIL
three_stock,battery,30,5.138153612109818,FAIL
three_stock,relay,30,5.744627852450321,FAIL
three_stock,component,30,,NO_REUSE
three_stock,aircraft,60,5.020082730731701,FAIL
three_stock,battery,60,5.138153612109818,FAIL
three_stock,relay,60,5.744627852450321,FAIL
three_stock,component,60,,NO_REUSE
balanced_stock,aircraft,0,10.22126338514272,PASS
balanced_stock,battery,0,10.138153612109818,PASS
balanced_stock,relay,0,10.744627852450321,PASS
balanced_stock,component,0,2970.1483398695973,PASS
balanced_stock,aircraft,1,10.22126338514272,PASS
balanced_stock,battery,1,10.138153612109818,PASS
balanced_stock,relay,1,10.744627852450321,PASS
balanced_stock,component,1,2970.1483398695973,PASS
balanced_stock,aircraft,5,10.22126338514272,PASS
balanced_stock,battery,5,10.138153612109818,PASS
balanced_stock,relay,5,10.744627852450321,PASS
balanced_stock,component,5,2970.1483398695973,PASS
balanced_stock,aircraft,10,10.22126338514272,PASS
balanced_stock,battery,10,10.138153612109818,PASS
balanced_stock,relay,10,10.744627852450321,PASS
balanced_stock,component,10,2970.1483398695973,PASS
balanced_stock,aircraft,30,10.22126338514272,FAIL
balanced_stock,battery,30,10.138153612109818,FAIL
balanced_stock,relay,30,10.744627852450321,FAIL
balanced_stock,component,30,2970.1483398695973,PASS
balanced_stock,aircraft,60,10.22126338514272,FAIL
balanced_stock,battery,60,10.138153612109818,FAIL
balanced_stock,relay,60,10.744627852450321,FAIL
balanced_stock,component,60,2970.1483398695973,PASS
