case,label,plan,weighted_soft_delay,weighted_delivery_seconds,makespan,energy_kwh,transport_energy_kwh,relay_energy_kwh,transport_sorties,relay_sorties,total_sorties,minimum_hard_margin_seconds,hard_violations,communication_margin_db,minimum_handoff_seconds,two_partition,two_shortage,two_resource_total,two_cv,three_partition,three_shortage,three_resource_total,three_cv,validation
baseline,原Q3基线,results_q3_complete/q3_plan.json,0,2634274.0032893578,6390.534653380882,72.79802580771732,69.30723683159759,3.4907889761197355,23,3,26,21.054320164972523,0,0.28939259213529667,0.050585059482727956,P3,2,29,0.9581615166591445,P4,8,35,1.2111694483969988,PASS
buffer5,5秒缓冲·同能耗,results_q3_q4_refined/buffer5/plans/timely_variable.json,0,2639452.0032893578,6400.534653380882,72.79802580771732,69.30723683159759,3.4907889761197355,23,3,26,16.054320164972523,0,0.28939259213529667,5.050585059482728,P3,2,29,0.9581615166591445,P4,8,35,1.2111694483969988,PASS
buffer10,10秒缓冲·推荐,results_q3_q4_refined/buffer10/plans/fast_buffer.json,0,2641494.0032893578,6410.534653380882,72.807192474384,69.30723683159759,3.499955642786402,23,3,26,11.054320164972523,0,0.28939259213529667,10.050585059482728,P3,2,29,0.9581835764842804,P4,8,35,1.2112753626752528,PASS
rebatch,零软延误·缺口减半,results_q3_q4_refined/rebatch/plans/timely_variable.json,0,2671179.141741869,6747.534653380882,73.15575481746102,69.6765769524524,3.4791778650086242,23,3,26,16.054320164972523,0,0.28939259213529667,5.050585059482728,P3,1,28,0.9583732280906626,P4,7,34,1.2121859815219083,PASS
two_stock,两组库存满足,results_q3_q4_refined/rebatch_stock/plans/independent_two_variable.json,32146.229543012156,2914878.2276339605,7730.534653380882,75.62245868223262,71.54866970611289,4.073788976119735,23,3,26,7.054320164972523,0,0.28939259213529667,5.099795657474488,P3,0,26,0.9599885253561343,P4,5,31,1.2199460694781508,PASS
three_stock,三组库存满足,results_q3_q4_refined/stock_trials/plans/independent_three.json,261502.18876866138,3486642.9100626325,11231.809520857649,76.00018240574168,70.71226330886657,5.287919096875109,23,5,28,73.05432016497252,0,0.28939259213529667,5.020082730731701,P1,0,26,0.8644780576792122,P4,0,27,1.23219794353523,PASS
balanced_stock,两组均衡折中,results_q3_q4_refined/group_tradeoffs/plans/outer_pair.json,253246.18876866138,3264160.1893131062,11135.809520857649,75.16062986185523,70.38482187609122,4.775807985763998,23,5,28,179.05432016497252,0,0.28939259213529667,10.138153612109818,P2,0,27,0.8184863811179236,P4,2,29,1.2231718903772963,PASS
